,Additions_to_Regular_Salary,Additions_to_Salary__Projected_Expenses,After_School_and_Student_Activities,Ancillary_Support_Services_All_Funds,Assistant_Principals,Attendance__Outreach_Services,Building_Maintenance,Building_Services_All_Funds,Central_Administration_All_Funds,Central_Instructional_Support_All_Funds,Central_Leadership,Classroom_Instruction_All_Funds,Computer_System_Support_School_Level,Contracted_Instructional_Services,Counseling_Services,Custodial_Services,Direct_Services_to_Schools,District,Drug_Prevention_Programs,Education_Paraprofessionals,Energy,Field_Support_All_Funds,Field_Support_Costs,Food_Services,Instructional_Offices,Instructional_Supplies_and_Equipment,Instructional_Support_Srcs_All_Funds,Instructional_Support_and_Administration_All_Funds,LeadershipSupervisionSupport_All_Funds,Leases,Librarians_and_Library_Books,Operational_Offices,Other_Classroom_Staff,Other_Field_Support_Costs_All_Funds,Parent_Involvement_Activities,Principals,Professional_Development,Projected_Expenses,Referral_and_Evaluation_Services_All_Funds,Related_Services,Sabbaticals_Leaves_Termination_Pay,School,School_Safety,Secretaries_School_Aides__Other_Support_Staff,Summer_and_Evening_School,Supervisors,Supplies_Materials_Equipment_Telephones,SystemWide_Costs,Teachers,Text_Books,Title_1,Total,Transportation
K010,5,125,185,1676,28,27,429,1299,341,59,39,9029,89,37,216,674,18212,15,4,310,195.0,125,269,592,67,95,4701,256,1381,0.0,30,235,1.0,13,189,325,495,1,563,3518,7,K010,304,899,36,12.0,117,401,7956,68,1.0,20081,691
K015,5,85,182,2773,28,194,416,1811,347,66,40,12591,89,27,622,1093,23357,15,4,1110,303.0,85,295,1053,72,150,4618,268,1478,0.0,10,236,1.0,27,234,559,1214,1,839,2542,21,K015,304,788,125,16.0,87,413,9884,68,1.0,25265,1328
K024,5,95,96,1841,403,27,355,1388,345,63,40,10715,89,548,217,747,19342,15,4,228,285.0,95,278,843,69,446,3894,266,1410,0.0,10,236,1.0,12,566,294,1043,1,585,2399,7,K024,304,589,183,12.0,113,408,8182,73,1.0,21228,605
K027,5,152,727,3169,2085,288,419,3483,357,70,42,18628,89,913,1261,2637,41887,15,503,669,426.0,152,371,1345,79,520,9953,344,6501,2.0,23,237,1.0,26,381,2660,3528,1,1496,5296,20,K027,304,1445,303,114.0,197,427,12568,102,1.0,43885,1432
K029,4,71,101,1000,500,29,328,1097,332,52,37,8263,89,13,87,575,13734,15,4,255,193.0,71,257,309,62,123,1746,244,1557,0.0,9,233,1.0,13,148,349,256,1,557,820,8,K029,304,497,36,7.0,204,384,7478,90,0.0,15575,298
K032,6,185,541,4188,482,27,487,2034,347,70,40,12127,89,103,1260,1193,39341,15,4,1415,353.0,185,291,641,73,153,18126,276,2681,0.0,386,235,1.0,16,516,670,2297,1,1224,14554,10,K032,304,944,215,439.0,147,417,7439,118,1.0,41249,3154
K038,2,66,383,2054,324,250,345,1012,341,57,39,8788,89,16,231,345,16580,15,2,632,322.0,66,252,860,66,97,2898,249,1762,0.0,6,235,7.0,4,213,409,713,0,460,1358,1,K038,303,508,16,355.0,165,398,7236,66,1.0,18430,802
K039,4,77,90,1029,28,27,381,1162,331,51,37,8294,89,35,661,482,14030,15,4,262,156.0,77,287,278,61,94,1765,242,1704,144.0,37,233,1.0,45,230,619,157,1,41,712,40,K039,461,618,19,343.0,97,383,7623,66,0.0,15900,201
K051,4,81,161,758,335,27,363,1115,330,46,37,6753,89,13,430,593,11193,15,4,97,159.0,81,361,110,61,57,1533,286,953,0.0,114,232,1.0,75,96,217,195,1,171,643,70,K051,304,299,29,6.0,95,375,6160,88,0.0,13129,255
K058,5,104,75,1326,251,27,421,1442,333,54,37,8554,89,28,356,837,15622,15,4,458,183.0,104,328,358,63,328,3002,303,1195,0.0,49,233,1.0,25,136,316,314,1,427,1977,20,K058,304,485,4,9.0,133,387,7306,66,0.0,17536,575
K088,5,96,104,1539,764,27,438,1509,344,59,40,9055,89,45,179,804,17514,15,4,145,267.0,96,347,512,70,86,3405,310,1911,0.0,137,235,1.0,36,76,273,623,1,646,2368,30,K088,304,452,156,301.0,120,403,7789,71,1.0,19464,634
K094,4,76,226,1271,290,27,329,935,340,56,40,8113,89,91,143,440,12848,15,4,134,166.0,76,352,699,65,574,1180,324,1274,0.0,94,235,1.0,28,93,204,274,1,323,364,23,K094,304,668,68,5.0,106,396,6821,56,1.0,14796,179
K107,4,103,316,1093,28,27,414,1392,332,52,37,9074,89,71,72,759,15126,15,4,212,219.0,103,253,389,62,361,2355,243,1110,0.0,15,233,1.0,10,321,468,332,1,705,909,5,K107,304,519,2,8.0,88,384,7979,101,0.0,16963,311
K124,4,81,104,2111,476,27,421,1311,343,58,40,9750,89,25,454,634,17142,15,4,689,256.0,81,363,895,67,143,2154,312,1735,0.0,499,236,1.0,51,276,658,673,1,53,1236,46,K124,304,483,107,8.0,111,402,7541,73,1.0,19106,823
K130,4,98,124,1577,307,27,362,1236,342,56,40,8981,89,106,465,722,15378,15,4,250,153.0,98,273,923,66,287,2168,250,1318,0.0,10,235,1.0,23,158,391,876,1,346,1043,18,K130,388,475,39,6.0,139,398,7344,66,1.0,17248,177
K131,4,94,127,1238,359,27,329,1018,341,57,40,8284,89,81,201,522,13344,15,56,266,167.0,94,355,668,66,116,1598,311,1113,0.0,134,235,1.0,44,225,266,561,1,380,582,39,K131,304,379,95,5.0,103,397,6965,65,1.0,15297,177
K136,4,90,259,1263,743,248,430,1210,344,58,40,11979,89,651,343,553,19054,15,2,107,228.0,90,568,593,69,579,1893,361,2619,0.0,117,235,0.0,207,139,431,988,1,114,787,202,K136,303,776,250,483.0,186,402,9218,69,1.0,21224,277
K146,5,92,90,2300,295,58,414,1123,334,56,37,8894,89,19,184,549,17299,15,4,169,160.0,92,269,261,64,83,3926,251,964,0.0,110,232,1.0,18,146,373,687,1,633,2810,13,K146,395,157,28,11.0,127,390,7698,98,0.0,19158,1556
K154,4,120,189,1290,372,112,337,1383,333,53,37,9144,89,124,120,834,15666,15,4,224,211.0,120,256,403,62,133,2155,245,1573,0.0,4,233,1.0,11,160,462,308,1,344,1226,5,K154,304,597,11,9.0,133,385,8271,68,0.0,17507,495
K169,4,89,70,1356,426,34,329,965,343,58,40,9080,89,86,205,471,14619,15,68,430,165.0,89,327,803,67,424,1754,314,1375,0.0,127,236,1.0,13,181,205,497,1,324,872,8,K169,304,595,42,8.0,141,401,7403,70,1.0,16547,160
K172,5,96,544,1337,567,30,362,1377,344,63,40,8484,89,33,246,823,15638,15,4,137,193.0,96,275,727,69,250,2688,265,1656,0.0,10,235,1.0,11,224,404,635,1,595,1045,5,K172,304,576,64,13.0,97,407,7255,101,1.0,17520,217
K230,4,98,95,1488,282,27,374,1840,340,57,40,9014,89,23,247,715,15727,15,4,203,195.0,98,272,672,66,119,2265,254,1022,556.0,92,235,1.0,18,187,192,504,1,418,1287,14,K230,304,425,37,9.0,115,397,7955,81,1.0,17596,423
K261,5,98,77,1670,224,27,352,756,338,57,39,8459,89,22,173,204,14443,15,4,373,201.0,98,325,558,66,100,2315,309,1145,0.0,137,234,1.0,15,115,276,526,1,430,1489,10,K261,304,497,28,13.0,134,395,7195,76,1.0,16363,719
K295,5,85,122,1756,384,27,329,1032,341,60,39,9098,89,22,334,570,17444,15,4,193,132.0,85,364,644,68,152,4013,259,1460,0.0,10,234,1.0,105,217,513,278,1,911,2398,99,K295,304,455,87,10.0,99,402,8285,71,1.0,19410,719
K321,4,84,10,779,389,62,329,881,331,52,37,7673,89,15,357,413,12647,15,4,170,140.0,84,420,150,62,94,2162,243,1067,0.0,129,232,1.0,178,77,188,172,1,321,1329,173,K321,304,300,20,7.0,184,383,6971,102,0.0,14651,236
K429,5,71,498,774,383,182,438,1506,344,56,40,9774,89,770,730,754,17307,15,167,32,313.0,71,433,186,71,101,3153,421,2030,2.0,121,233,12.0,12,160,604,856,1,384,1034,7,K429,304,620,130,228.0,195,401,7682,69,1.0,19341,195
K442,6,79,436,1814,28,218,492,2038,349,67,40,14969,89,382,618,1193,25152,15,4,280,353.0,79,447,649,74,98,4527,324,1726,0.0,11,235,1.0,123,436,882,1535,1,133,2681,116,K442,304,689,50,20.0,107,416,12541,70,1.0,27215,772
K443,5,119,95,1008,345,27,329,999,341,54,40,8763,89,34,255,538,13878,15,4,8,132.0,119,313,404,67,254,1727,300,1262,0.0,10,234,1.0,13,187,485,642,1,62,1096,8,K443,304,310,34,13.0,110,396,7700,80,1.0,15787,211
K447,4,142,253,1064,625,27,376,1413,332,48,37,7153,89,95,415,855,15668,15,4,8,182.0,142,267,277,62,68,4228,234,1667,0.0,10,233,1.0,33,157,420,926,1,54,3319,28,K447,304,266,13,147.0,209,380,5960,72,0.0,17516,395
K448,5,79,150,1138,506,27,414,1126,345,59,39,9167,89,164,611,550,15493,15,4,86,160.0,79,264,266,72,95,2461,253,1523,2.0,82,233,1.0,12,226,336,605,1,268,1173,5,K448,304,569,98,16.0,97,404,7931,105,1.0,17362,479
K462,3,74,192,1012,647,108,387,1769,343,53,40,8485,89,13,519,756,15453,15,123,126,623.0,74,381,318,70,153,2267,260,1846,2.0,82,234,0.0,121,147,424,749,0,370,809,118,K462,303,591,5,7.0,178,397,7266,92,1.0,17430,301
K463,4,101,205,1003,326,38,387,1845,345,54,40,9453,89,14,778,833,16355,15,4,355,623.0,101,317,282,71,167,1921,301,2032,2.0,91,234,1.0,16,174,568,291,1,52,670,11,K463,304,767,321,205.0,166,399,8121,92,1.0,18271,328
K464,5,66,111,1140,431,313,387,1845,343,54,40,8361,89,54,529,833,14849,15,4,7,623.0,66,318,306,70,191,1574,300,1863,2.0,84,234,1.0,19,186,494,1270,1,56,375,13,K464,304,606,68,233.0,98,397,6561,124,1.0,16764,441
K497,5,56,291,997,1146,397,438,1506,343,54,40,10139,89,809,863,754,18470,15,4,260,313.0,56,433,367,70,409,3030,301,2742,2.0,119,233,1.0,132,205,539,579,1,166,1104,126,K497,304,947,80,11.0,99,398,7806,76,1.0,20501,237
K519,5,74,267,691,905,285,354,1490,344,55,40,8630,89,461,905,929,16194,15,129,314,205.0,74,319,107,71,101,3161,302,2149,2.0,169,233,1.0,17,200,355,450,1,477,898,12,K519,304,728,52,12.0,150,399,6981,101,1.0,18113,191
K520,4,77,656,845,30,712,390,3131,344,52,40,10249,89,14,1619,770,21165,15,4,17,199.0,77,251,263,70,208,3680,241,3182,1773.0,4,234,1.0,10,299,1007,820,1,49,342,5,K520,304,1948,1,7.0,190,396,9074,110,1.0,23012,190
K529,4,353,903,842,866,336,444,4610,340,48,39,14945,89,4825,519,751,25572,15,4,14,292.0,353,310,262,67,53,2122,301,2699,3123.0,15,234,1.0,9,268,990,771,1,30,61,5,K529,304,455,42,4.0,384,387,9112,113,1.0,27469,188
K530,5,77,234,824,428,397,432,1257,343,53,40,7318,89,410,858,762,14258,15,4,9,61.0,77,311,260,70,46,2888,298,1895,2.0,10,234,1.0,12,198,603,481,1,523,673,7,K530,304,748,40,8.0,107,396,6229,92,1.0,16165,172
K656,2,92,272,731,1102,233,377,1465,338,47,39,6682,89,8,494,779,13515,15,6,2,308.0,92,353,174,66,41,1410,250,3135,2.0,18,233,0.0,103,110,381,145,0,25,271,100,K656,303,991,1,261.0,400,385,6279,190,1.0,15454,164
K667,5,58,502,1147,908,27,329,1337,343,53,39,7107,89,18,714,100,14739,15,4,7,907.0,58,252,550,69,157,2383,242,2708,2.0,240,234,1.0,10,263,632,568,1,66,807,5,K667,304,928,1,10.0,229,396,5856,258,1.0,16587,203
K676,3,56,637,2528,1097,21,419,887,352,67,42,13040,89,83,24,42,23016,15,2,662,426.0,56,311,818,74,79,2845,306,3659,0.0,7,236,0.0,5,37,1325,770,1,84,2040,1,K676,306,881,1,11.0,345,419,11203,236,1.0,24946,1315
K698,4,118,206,789,1064,700,330,4544,340,48,40,14105,89,5697,689,103,26097,15,4,16,2.0,118,311,290,67,184,2620,302,3921,4109.0,11,234,1.0,9,311,1409,663,1,30,679,5,K698,304,1275,99,4.0,169,388,7317,116,1.0,27996,106
K821,4,69,246,1230,372,27,430,1287,343,55,40,7620,89,82,274,629,13650,15,4,111,228.0,69,255,506,68,265,1606,245,1838,0.0,102,235,1.0,10,170,453,620,1,335,548,5,K821,409,622,3,194.0,197,398,6351,86,1.0,15503,225
K005,4,137,322,2083,399,175,331,1535,342,57,40,9690,89,90,781,806,19302,16,2,594,399.0,137,350,971,67,268,4065,312,1792,0.0,315,235,1.0,38,186,485,819,1,791,1807,33,K005,304,786,26,7.0,114,399,7463,114,1.0,21251,719
K021,3,84,197,1416,255,203,339,1220,342,57,40,8456,89,30,397,594,14118,16,0,288,287.0,84,301,630,67,50,1831,293,1113,0.0,183,235,0.0,8,192,315,421,1,209,634,5,K021,306,410,3,7.0,126,399,7412,68,1.0,16018,391
K025,4,132,253,1893,1055,118,343,1648,342,57,40,13212,89,208,721,1025,24353,16,2,876,280.0,132,398,812,67,781,4445,314,3023,0.0,10,235,1.0,84,255,556,1491,1,491,2604,79,K025,304,1158,125,6.0,248,399,9621,98,1.0,26350,689
K026,5,59,128,2170,494,55,412,1341,346,61,41,11032,89,65,277,681,19088,16,2,226,248.0,59,336,754,69,104,2587,320,1898,0.0,10,236,1.0,17,221,591,1830,5,397,1507,7,K026,304,663,67,10.0,140,407,8659,70,1.0,21031,1024
K028,4,210,408,1981,1215,572,410,5614,341,55,40,10892,89,434,503,99,25172,16,2,377,0.0,210,321,862,66,384,3226,309,3249,5105.0,56,235,1.0,12,328,764,422,1,46,1367,7,K028,304,1028,16,6.0,236,396,9112,90,1.0,27089,727
K035,5,103,374,1443,650,556,330,2422,344,57,40,9068,89,83,506,1649,20027,16,2,277,442.0,103,357,733,69,86,4661,309,2330,0.0,493,235,1.0,48,341,959,1595,1,874,2009,43,K035,304,187,115,415.0,118,401,6349,69,1.0,21985,317
K040,5,96,404,2197,449,33,458,2034,343,59,40,8563,89,55,653,1229,18504,16,2,869,347.0,96,328,883,68,335,3873,315,1742,0.0,262,235,1.0,13,270,574,548,1,447,2063,7,K040,304,574,71,9.0,137,402,6356,66,1.0,20434,921
K057,5,79,654,867,785,143,515,1969,343,56,40,11182,89,185,626,1134,20788,16,2,7,320.0,79,729,317,69,302,2924,307,3767,0.0,458,234,1.0,422,360,873,1892,1,206,932,416,K057,304,1035,571,528.0,547,399,7697,67,1.0,23117,157
K081,4,83,159,2267,360,235,355,1716,344,60,40,10511,89,39,309,937,20104,16,46,473,423.0,83,394,1126,68,82,4097,330,1431,0.0,9,235,1.0,64,198,482,1646,1,915,2235,59,K081,304,461,110,11.0,117,404,8080,70,1.0,22101,748
K243,5,95,237,1837,407,40,333,1820,344,60,40,12120,89,57,377,1177,21580,16,2,563,310.0,95,371,861,68,168,4229,317,1480,0.0,347,235,1.0,54,238,576,1578,1,1209,2127,49,K243,304,389,42,12.0,96,404,9298,67,1.0,23554,583
K262,4,142,362,2046,502,168,366,1924,343,58,40,9285,89,65,397,1249,17597,16,2,271,309.0,142,328,820,67,303,2249,312,1950,0.0,10,235,1.0,16,243,571,1124,1,436,642,11,K262,304,769,28,7.0,101,401,7414,68,1.0,19525,833
K267,5,74,546,1541,521,77,400,2058,347,61,41,10424,89,450,658,1089,21520,16,2,318,568.0,74,330,519,72,101,4789,316,2634,0.0,12,235,1.0,14,293,678,868,1,756,2457,8,K267,304,955,321,327.0,153,408,8251,101,1.0,23458,629
K308,5,59,163,1677,721,87,404,1649,343,55,40,9949,89,37,547,951,18539,16,116,498,294.0,59,332,478,68,47,3553,306,1652,0.0,6,235,1.0,26,248,306,340,1,446,1946,21,K308,304,519,60,13.0,94,398,8891,68,1.0,20469,806
K309,5,92,415,2459,28,595,333,1889,344,59,40,12068,89,149,356,1196,22565,16,2,1119,360.0,92,868,1005,68,189,4138,756,1919,0.0,344,236,135.0,112,165,668,723,1,626,1980,107,K309,304,1082,27,11.0,130,403,9227,156,1.0,25036,1061
K335,4,162,289,2221,462,255,331,1233,344,60,40,10042,89,35,851,642,19812,16,186,442,260.0,162,339,723,68,72,4018,329,2136,0.0,284,235,1.0,10,248,522,1326,1,698,1492,5,K335,304,752,79,285.0,115,404,7737,64,1.0,21754,1106
K385,5,99,474,1289,720,503,515,1916,346,60,40,11028,89,56,835,1081,21854,16,322,188,320.0,99,377,617,71,125,4812,315,2710,0.0,11,235,1.0,62,303,894,874,1,610,1765,56,K385,304,982,5,14.0,100,406,9641,127,1.0,23837,279
K393,5,80,440,890,640,444,412,1343,342,53,39,8147,89,141,259,682,14403,16,2,7,248.0,80,401,268,69,102,2194,301,1750,2.0,219,233,1.0,100,176,487,904,3,155,719,92,K393,304,497,1,9.0,117,394,6646,125,1.0,16398,229
K455,5,127,308,818,647,345,423,1556,345,56,40,7808,89,672,544,806,14264,16,29,154,325.0,127,495,300,72,139,2350,381,1606,2.0,67,234,92.0,114,64,109,323,1,301,758,108,K455,304,468,112,229.0,152,401,6150,99,1.0,16360,125
K498,5,198,580,762,1257,699,405,4133,346,56,40,7682,89,441,940,761,18659,15,4,7,394.0,198,347,177,72,341,2683,303,3202,2573.0,263,234,1.0,44,154,646,613,1,68,237,38,K498,304,980,144,7.0,311,402,5747,123,1.0,20608,192
K534,5,68,225,1589,655,487,343,1716,344,58,40,11771,89,206,585,1094,20878,16,2,530,280.0,68,324,807,69,365,2827,311,2906,0.0,11,235,1.0,13,308,892,1596,1,80,1140,7,K534,304,1203,12,12.0,144,402,8974,76,1.0,22804,389
K584,5,101,384,1114,546,896,331,1344,346,58,41,10632,89,162,813,753,18845,16,282,122,260.0,101,348,487,70,460,3481,310,2174,0.0,18,235,1.0,38,253,773,1040,1,70,783,32,K584,304,667,1,11.0,178,403,8684,144,1.0,20795,234
K594,4,77,798,1456,28,61,458,2036,343,51,40,9347,89,36,71,1229,16283,16,2,225,347.0,77,251,887,69,224,1402,241,1966,2.0,9,235,1.0,10,326,1039,285,1,45,99,5,K594,304,802,105,7.0,92,394,8354,106,1.0,18128,176
K627,2,278,583,2185,5,705,330,1521,341,57,40,7096,89,96,1018,799,17070,16,0,676,392.0,278,263,856,66,270,3162,259,2827,0.0,4,235,0.0,4,50,1772,1579,0,36,771,1,K627,306,710,14,6.0,334,398,4252,205,1.0,18931,934
K628,4,80,524,1212,28,399,330,1945,335,48,39,8058,89,33,26,1173,15224,16,2,549,442.0,80,284,725,61,169,1090,274,2839,0.0,7,235,1.0,9,50,1782,477,1,14,76,4,K628,304,813,2,3.0,213,383,6753,66,1.0,17090,95
K636,5,68,499,1506,685,48,330,1885,344,58,41,9312,89,38,379,1163,18132,16,2,451,392.0,68,303,835,68,523,2975,292,2386,0.0,11,236,1.0,10,308,855,1087,1,543,1196,5,K636,304,740,58,9.0,97,402,7076,68,1.0,20037,278
K688,8,50,384,810,5,182,515,1841,343,54,39,7914,89,33,20,1005,14506,16,0,411,320.0,50,306,322,70,875,809,294,3082,2.0,50,233,10.0,12,28,1727,380,3,49,147,1,K688,303,749,1,8.0,594,397,5625,530,1.0,16408,96
K002,5,78,775,1672,440,84,405,2239,345,57,41,13182,89,434,380,1194,24299,17,173,55,641.0,78,242,710,69,168,5357,231,1771,0.0,10,235,1.0,11,304,579,662,0,632,3008,5,K002,304,562,298,15.0,175,402,11368,187,1.0,26143,568
K006,3,81,206,1847,522,178,408,1355,343,58,40,9531,89,412,239,673,17171,17,0,266,274.0,81,304,714,68,113,2894,293,1464,0.0,205,235,0.0,11,188,338,646,1,244,1839,7,K006,306,421,93,7.0,177,402,7696,100,1.0,19076,738
K012,2,90,444,2374,535,125,530,1876,342,56,40,12842,89,289,214,903,24619,17,0,717,444.0,90,293,883,67,658,5539,289,1898,0.0,6,235,0.0,4,309,719,1964,1,1356,3092,1,K012,306,411,10,5.0,228,398,9083,116,1.0,26510,1095
K022,2,105,125,2649,598,29,413,1770,345,60,41,11127,89,87,289,893,21346,17,134,664,465.0,105,292,920,69,156,3905,262,1789,0.0,6,236,0.0,30,340,412,722,0,354,2634,27,K022,306,652,187,9.0,118,405,9226,79,1.0,23243,1334
K061,5,89,192,1103,426,125,357,1133,339,51,40,8898,89,482,246,572,14312,17,61,119,204.0,89,229,353,66,126,2027,219,1062,0.0,116,234,1.0,9,152,211,392,1,179,1073,4,K061,304,329,117,7.0,89,390,7475,69,1.0,16131,356
K091,5,83,190,2579,322,154,342,1008,345,60,40,10592,89,51,371,492,18910,17,1,550,174.0,83,355,821,69,236,3444,286,1204,0.0,9,236,1.0,70,186,287,598,0,538,2003,64,K091,364,473,45,9.0,113,405,9033,69,1.0,20871,1305
K092,2,74,155,1565,725,29,443,1567,341,55,40,9803,89,16,427,854,16701,17,110,249,270.0,74,299,784,66,74,1843,287,1850,0.0,208,235,0.0,12,269,360,641,1,193,661,9,K092,391,603,25,4.0,158,396,8523,66,1.0,18596,300
K138,4,89,381,1762,360,294,584,1497,341,51,40,10681,89,27,313,671,17568,17,1,397,242.0,89,252,780,66,117,2540,218,998,0.0,137,235,1.0,34,163,256,463,0,377,1012,29,K138,404,277,6,5.0,100,392,9468,67,1.0,19412,489
K161,2,159,121,1255,170,57,336,862,341,50,40,8224,89,20,136,482,12802,17,0,573,44.0,159,329,584,66,99,1351,275,950,0.0,132,235,0.0,54,103,266,628,1,394,539,51,K161,306,272,5,130.0,112,391,6680,87,1.0,14721,277
K167,5,149,137,1717,173,447,495,1727,343,58,40,10325,89,77,539,950,19170,17,140,298,282.0,149,357,673,68,122,3885,246,1367,0.0,273,235,1.0,111,153,444,665,0,732,1735,106,K167,304,611,23,11.0,129,401,8797,69,1.0,21128,651
K181,5,103,155,1779,383,130,379,1164,341,52,40,9217,89,57,339,527,15736,17,58,267,258.0,103,328,712,66,108,2414,221,1060,0.0,135,235,1.0,107,119,202,396,0,288,1325,102,K181,359,364,67,7.0,104,394,8113,74,1.0,17657,618
K189,4,101,283,1518,411,69,395,1003,341,51,40,7884,89,29,190,438,12989,17,1,92,170.0,101,252,618,65,262,1447,210,1036,0.0,112,235,1.0,42,154,198,703,0,291,458,37,K189,349,286,29,5.0,136,391,6588,68,1.0,14832,463
K191,2,145,154,2150,663,138,333,2055,346,60,41,11480,89,562,517,1181,21713,17,0,796,541.0,145,371,816,69,195,3520,262,2362,0.0,7,236,0.0,110,665,890,385,0,472,1572,107,K191,306,587,46,8.0,216,406,9423,68,1.0,23690,939
K221,5,179,120,1884,573,134,402,1546,342,57,40,10450,89,70,499,833,17747,17,109,479,311.0,179,297,629,67,77,2213,280,1475,0.0,201,235,1.0,17,154,353,447,0,255,942,12,K221,304,438,13,7.0,103,399,9094,68,1.0,19643,862
K241,5,130,304,1788,631,116,353,1469,342,57,40,9702,89,46,278,900,17660,17,1,152,216.0,130,246,648,67,325,3027,223,1544,0.0,207,235,1.0,23,154,325,838,0,511,1664,18,K241,304,483,70,7.0,98,399,7997,66,1.0,19505,747
K246,5,85,266,1481,789,87,406,1803,346,60,40,13590,89,490,494,955,22692,17,28,21,442.0,85,249,772,70,367,3337,235,2396,0.0,195,236,1.0,14,250,375,1433,0,415,1795,8,K246,304,703,160,382.0,147,406,10854,70,1.0,24546,315
K249,2,95,253,1749,417,71,340,1259,342,57,40,8145,89,244,140,670,14576,17,0,293,248.0,95,309,1012,66,86,1784,292,1544,0.0,6,236,0.0,17,101,297,450,1,301,918,14,K249,306,627,20,4.0,200,399,6930,116,1.0,16484,342
K289,2,139,206,2095,459,29,415,1315,344,60,40,10209,89,32,333,621,19661,17,103,402,280.0,139,265,701,69,100,4324,261,1579,0.0,212,235,0.0,4,203,315,358,0,455,2995,1,K289,306,634,10,8.0,163,404,9005,90,1.0,21530,999
K316,2,137,117,1977,176,897,504,1996,345,59,41,14047,89,164,533,1108,25763,17,0,1090,384.0,137,561,644,69,547,5650,494,1956,0.0,16,235,0.0,67,352,766,1171,0,1563,2189,65,K316,306,753,99,8.0,253,405,10836,125,1.0,27929,939
K334,3,127,444,1497,750,179,430,1826,346,61,40,10431,89,452,32,1024,19437,17,0,241,372.0,127,306,531,71,240,2617,295,2939,0.0,0,234,0.0,11,299,907,1927,1,94,1569,7,K334,306,619,16,480.0,184,407,7430,126,1.0,21349,571
K340,4,141,243,1378,15,31,409,1211,342,50,41,8871,89,17,572,606,14559,17,1,169,195.0,141,224,589,66,191,1518,215,1440,0.0,398,235,1.0,8,360,733,954,0,32,279,4,K340,449,527,5,3.0,161,391,7065,70,1.0,16374,251
K352,5,68,303,1395,726,191,359,1404,345,56,40,11596,89,584,553,717,19199,17,164,281,327.0,68,295,727,69,217,2934,277,1802,0.0,272,236,1.0,18,344,521,1144,1,65,1314,12,K352,304,423,31,9.0,123,401,8990,76,1.0,21096,274
K353,6,90,721,1665,957,34,504,1999,348,61,41,12741,89,108,646,1112,23648,17,1,307,384.0,90,311,646,72,748,3420,284,3733,0.0,10,236,1.0,27,935,1401,2039,0,92,989,21,K353,304,1233,17,13.0,129,409,9410,100,1.0,25567,625
K354,6,135,440,1419,577,78,430,1843,346,60,40,12802,89,45,610,1041,23474,17,1,3,372.0,135,295,535,71,148,4612,283,2663,0.0,10,235,1.0,12,431,936,3183,0,805,2247,6,K354,304,531,193,496.0,123,406,9149,71,1.0,25375,490
K375,5,139,148,1984,526,76,359,1404,342,57,40,10113,89,435,349,717,18116,17,125,422,327.0,139,339,834,66,195,2972,281,1505,0.0,9,235,1.0,58,226,371,1005,0,660,1388,52,K375,304,400,5,6.0,202,399,7974,68,1.0,20054,756
K382,4,100,648,852,483,31,366,1386,340,49,39,7710,89,26,423,707,13740,17,1,2,311.0,100,218,291,68,189,1994,207,1699,2.0,54,233,1.0,11,122,386,269,2,43,726,4,K382,304,634,132,5.0,190,390,6811,225,1.0,15547,168
K394,5,80,163,1818,484,98,348,1466,340,50,40,9035,89,32,494,834,15592,17,30,535,285.0,80,275,730,65,230,1879,265,1312,0.0,168,235,1.0,11,143,352,356,0,42,909,6,K394,370,384,181,5.0,87,391,7458,75,1.0,17457,629
K397,1,114,195,1575,434,103,342,1185,342,55,40,9214,89,235,336,535,15358,17,2,153,308.0,114,390,734,66,366,1697,344,1573,0.0,346,236,4.0,46,181,525,666,1,38,843,44,K397,418,414,7,6.0,194,396,7368,70,1.0,17344,334
K398,5,65,164,2400,823,333,534,2762,345,60,41,13346,89,540,419,1636,25959,17,1,237,591.0,65,302,826,69,214,5081,238,2306,0.0,9,236,1.0,65,269,584,785,0,998,2897,59,K398,304,701,39,8.0,189,405,11429,92,1.0,27866,1180
K399,2,78,375,1389,356,29,351,1004,341,54,40,8567,89,76,309,350,14300,17,0,247,302.0,78,292,711,65,252,1528,284,1735,0.0,249,235,0.0,8,149,463,441,1,25,641,5,K399,306,794,22,2.0,120,395,7213,69,1.0,16188,283
K408,1,83,666,797,609,48,366,1512,340,49,39,7586,89,25,700,832,14800,17,2,18,312.0,83,340,289,67,428,1948,332,2874,2.0,61,234,4.0,9,182,723,374,1,42,307,6,K408,303,1189,21,5.0,347,389,6434,222,1.0,16729,116
K484,3,75,155,2627,5,86,530,1876,343,54,40,10553,89,18,552,903,19339,17,0,224,444.0,75,288,893,68,55,2097,281,2111,0.0,6,235,0.0,6,10,1323,910,2,55,1239,1,K484,306,492,52,7.0,285,397,9215,72,1.0,21224,1339
K489,4,182,423,864,1441,658,382,7364,343,50,40,10011,89,1611,1189,1141,25508,17,13,1,728.0,182,217,361,69,175,2847,207,4239,5114.0,10,234,1.0,10,262,793,465,0,40,262,5,K489,304,1428,18,447.0,129,393,7616,113,1.0,27318,110
K524,3,103,335,1186,725,133,385,1339,342,52,40,8145,89,125,565,733,14730,17,0,16,219.0,103,664,608,67,305,1976,541,1981,2.0,72,235,0.0,123,578,493,908,0,8,357,119,K524,303,541,99,1.0,221,394,6519,100,1.0,16988,186
