,Additions_to_Regular_Salary,Additions_to_Salary__Projected_Expenses,After_School_and_Student_Activities,Ancillary_Support_Services_All_Funds,Assistant_Principals,Attendance__Outreach_Services,Building_Maintenance,Building_Services_All_Funds,Central_Administration_All_Funds,Central_Instructional_Support_All_Funds,Central_Leadership,Classroom_Instruction_All_Funds,Computer_System_Support_School_Level,Contracted_Instructional_Services,Counseling_Services,Custodial_Services,Direct_Services_to_Schools,District,Drug_Prevention_Programs,Education_Paraprofessionals,Energy,Field_Support_All_Funds,Field_Support_Costs,Food_Services,Instructional_Offices,Instructional_Supplies_and_Equipment,Instructional_Support_Srcs_All_Funds,Instructional_Support_and_Administration_All_Funds,LeadershipSupervisionSupport_All_Funds,Leases,Librarians_and_Library_Books,Operational_Offices,Other_Classroom_Staff,Other_Field_Support_Costs_All_Funds,Parent_Involvement_Activities,Principals,Professional_Development,Projected_Expenses,Referral_and_Evaluation_Services_All_Funds,Related_Services,Sabbaticals_Leaves_Termination_Pay,School,School_Safety,Secretaries_School_Aides__Other_Support_Staff,Summer_and_Evening_School,Supervisors,Supplies_Materials_Equipment_Telephones,SystemWide_Costs,Teachers,Text_Books,Title_1,Total,Transportation
M300,3,207,469,1004,55,860,464,1650,343,54,40,8070,89,297,706,723,15274,2,0,3,462.0,207,762,368,70,194,2849,725,1494,2.0,6,234,0.0,37,284,585,221,3,43,486,30,M300,303,698,90,8.0,148,397,7141,117,1.0,17633,244
M303,4,102,237,896,425,293,464,1650,346,57,40,9986,89,497,780,723,16900,2,0,3,462.0,102,373,216,72,182,2160,360,2107,2.0,243,234,0.0,13,225,581,957,1,56,568,8,M303,303,718,203,249.0,134,403,7794,106,1.0,18876,288
M305,3,89,426,653,504,766,427,1464,341,52,40,8732,89,156,450,621,14513,2,0,2,414.0,89,414,73,69,427,2287,354,1288,2.0,6,233,0.0,60,384,667,590,0,38,222,56,M305,303,9,72,6.0,101,394,7377,103,1.0,16521,187
M308,3,176,470,671,552,125,428,1478,344,58,40,8745,89,105,738,631,16192,2,257,27,418.0,176,318,127,72,639,3047,273,2075,2.0,18,233,0.0,45,307,744,335,0,480,670,41,M308,303,618,113,11.0,150,402,7405,102,1.0,18112,152
M312,3,76,73,931,5,22,418,1039,331,47,37,6332,89,12,386,422,11937,2,0,36,199.0,76,270,125,62,111,1474,252,2085,0.0,68,232,0.0,18,157,372,188,0,33,802,15,M312,303,651,30,950.0,107,378,5817,71,0.0,13785,414
M313,2,73,498,786,38,24,511,1352,341,53,39,8710,89,153,804,617,14730,2,2,39,223.0,73,281,235,69,634,2095,271,1714,2.0,10,233,4.0,10,320,912,446,1,63,384,7,M313,303,599,73,9.0,156,394,7256,96,1.0,16604,158
M316,3,78,655,946,410,980,328,15685,344,54,40,6908,89,75,464,314,27850,2,0,1,1.0,78,362,365,70,436,2497,357,1736,15042.0,6,234,0.0,5,216,657,500,0,46,136,1,M316,303,467,15,7.0,195,398,5770,105,1.0,29809,188
M347,4,212,501,7156,72,164,753,2829,338,58,37,24119,89,333,1400,1112,44053,2,0,1873,964.0,212,930,699,67,714,6932,920,2804,0.0,562,234,0.0,10,315,1172,1377,1,1027,3526,5,M347,303,834,23,606.0,122,396,19125,113,1.0,46579,6064
M374,2,81,353,869,474,226,354,1430,340,50,39,9513,89,53,478,737,15216,2,2,7,338.0,81,274,308,68,76,1432,265,1891,2.0,9,234,4.0,9,206,614,341,1,47,121,6,M374,303,635,68,6.0,161,390,8836,120,1.0,17080,169
M376,2,201,251,664,5,226,478,1260,337,46,39,6430,89,9,413,583,12878,2,0,0,198.0,201,252,103,65,642,1215,248,3106,2.0,50,233,0.0,4,274,2104,497,0,11,39,2,M376,303,807,12,18.0,173,382,5116,104,1.0,14713,169
M392,2,62,621,898,37,37,511,1350,340,51,39,10399,89,363,887,616,18046,2,2,7,222.0,62,277,238,68,1345,2286,268,3051,2.0,23,233,4.0,9,63,1442,1491,1,59,617,6,M392,303,1100,5,188.0,284,392,6956,205,1.0,19914,267
M393,8,77,254,918,1295,132,376,1098,343,55,39,10657,89,16,519,550,19919,2,0,7,171.0,77,322,233,70,892,2028,294,5141,2.0,7,233,10.0,28,438,2025,902,1,56,629,19,M393,303,1138,6,9.0,675,398,8538,279,1.0,21839,293
M394,2,132,847,1186,5,22,467,1425,338,45,39,11057,89,176,872,701,18189,2,0,199,256.0,132,250,640,65,2418,1983,246,2406,2.0,155,234,0.0,4,227,1200,1609,0,2,13,1,M394,303,915,5,0.0,286,383,5442,1052,1.0,20022,154
M397,3,108,21,1506,9,22,412,434,330,47,37,12483,89,51,1050,22,23435,2,0,2,0.0,108,269,357,59,2946,2646,265,6258,0.0,245,233,0.0,4,12,4028,934,0,5,1578,1,M397,303,2078,6,1.0,143,376,7014,1285,0.0,25281,757
M399,3,100,346,946,72,529,354,1270,341,51,39,9654,89,185,1374,576,18699,2,0,3,338.0,100,357,275,69,1652,3402,348,3327,2.0,63,233,0.0,9,481,2085,426,1,35,636,5,M399,303,879,27,168.0,124,393,6916,382,1.0,20648,279
M400,2,77,156,797,813,205,372,2879,340,51,39,6063,89,25,543,433,13199,2,45,36,273.0,77,194,219,68,98,1534,170,1850,1802.0,73,233,76.0,23,78,191,192,0,164,342,21,M400,303,733,84,5.0,107,391,5370,109,1.0,14984,185
M407,2,94,345,580,573,67,346,1033,332,45,37,6613,89,29,62,496,10919,2,2,6,190.0,94,276,25,64,159,869,258,1730,2.0,4,232,4.0,18,147,511,174,1,41,203,16,M407,303,519,22,5.0,123,378,6111,104,0.0,12773,162
M408,2,95,190,609,375,163,372,1372,331,43,37,8855,89,2224,235,812,13268,2,2,6,187.0,95,321,65,62,67,929,310,1408,2.0,267,232,4.0,11,189,506,189,1,76,73,8,M408,303,422,17,3.0,102,374,5984,98,0.0,15163,152
M411,1,97,148,729,209,27,411,3492,337,46,39,6027,89,50,690,917,12776,2,2,6,238.0,97,275,180,65,137,1346,266,1086,1927.0,11,233,41.0,9,388,535,218,1,26,64,6,M411,303,230,6,3.0,108,383,5464,95,1.0,14634,156
M412,3,128,199,716,255,123,418,1042,334,48,37,6766,89,13,311,423,13254,2,0,7,199.0,128,276,124,65,49,2158,254,2443,2.0,72,232,201.0,22,270,435,185,0,573,683,19,M412,303,586,66,920.0,246,382,6059,115,0.0,15112,199
