,YEAR,LCGGEOX,LCGGEOY,BNLONG
19205,2010,-73.8568,40.82919,X125
19206,2010,-73.9023,40.81762,X130
19207,2010,-73.8597,40.8237,X131
19208,2010,-73.8532,40.82261,X138
19209,2010,-73.9078,40.82325,X140
19210,2010,-73.9061,40.82482,X146
19211,2010,-73.88,40.82381,X152
19212,2010,-73.8563,40.81796,X182
19213,2010,-73.8929,40.82062,X269
19214,2010,-73.8564,40.81476,X282
19215,2010,-73.8385,40.84063,X293
19216,2010,-73.8561,40.82222,X295
19217,2010,-73.9071,40.82235,X301
19218,2010,-73.9021,40.81549,X302
19219,2010,-73.8297,40.82741,X304
19220,2010,-73.8561,40.82222,X305
19221,2010,-73.8561,40.82222,X312
19222,2010,-73.8981,40.81757,X332
19223,2010,-73.8988,40.82032,X333
19224,2010,-73.8988,40.82032,X335
19225,2010,-73.8737,40.8254,X337
19226,2010,-73.8183,40.82656,X366
19227,2010,-73.8564,40.81476,X367
19228,2010,-73.8183,40.82656,X371
19229,2010,-73.8564,40.81476,X375
19230,2010,-73.8561,40.82222,X376
19231,2010,-73.8561,40.82222,X377
19232,2010,-73.9078,40.82325,X381
19233,2010,-73.8385,40.84063,X405
19235,2010,-73.8856,40.81538,X424
19236,2010,-73.8597,40.8237,X448
19237,2010,-73.8561,40.82222,X452
19238,2010,-73.8183,40.82656,X467
19240,2010,-73.8813,40.82109,X519
19241,2010,-73.8981,40.81757,X530
19242,2010,-73.8561,40.82222,X540
19243,2010,-73.8813,40.82109,X560
19244,2010,-73.9034,40.82165,X650
19246,2010,-73.9025,40.831,X002
19247,2010,-73.8979,40.84142,X004
19248,2010,-73.9258,40.83928,X011
19249,2010,-73.9141,40.83323,X022
19250,2010,-73.9036,40.84798,X028
19251,2010,-73.9175,40.82732,X035
19252,2010,-73.903,40.83831,X042
19253,2010,-73.911,40.83266,X053
19254,2010,-73.905,40.83635,X055
19255,2010,-73.8992,40.84621,X058
19256,2010,-73.9025,40.831,X063
19257,2010,-73.9156,40.84012,X064
19258,2010,-73.9076,40.84427,X070
19259,2010,-73.9267,40.83271,X073
19260,2010,-73.9136,40.8371,X088
19261,2010,-73.9178,40.83196,X090
19262,2010,-73.9184,40.85156,X109
19263,2010,-73.9008,40.83525,X110
19264,2010,-73.9232,40.83463,X114
19265,2010,-73.9084,40.84855,X117
19266,2010,-73.9283,40.83584,X126
19267,2010,-73.905,40.83635,X128
19268,2010,-73.9066,40.83182,X132
19269,2010,-73.9143,40.82788,X145
19270,2010,-73.8984,40.8519,X163
19271,2010,-73.9178,40.82868,X166
19272,2010,-73.9135,40.84422,X170
19273,2010,-73.9206,40.84293,X199
19274,2010,-73.9181,40.84695,X204
19275,2010,-73.9043,40.83355,X215
19276,2010,-73.92,40.83573,X218
19277,2010,-73.9043,40.83355,X219
19278,2010,-73.9109,40.84037,X227
19279,2010,-73.9214,40.85258,X229
19280,2010,-73.9214,40.85258,X230
19281,2010,-73.9178,40.82868,X231
19282,2010,-73.916,40.84912,X232
19283,2010,-73.8983,40.84449,X236
19284,2010,-73.9109,40.84037,X239
19285,2010,-73.9013,40.83928,X241
