,Additions_to_Salary__Projected_Expenses,After_School_and_Student_Activities,Ancillary_Support_Services_All_Funds,Assistant_Principals,Attendance__Outreach_Services,Building_Maintenance,Building_Services_All_Funds,Central_Administration_All_Funds,Central_Instructional_Support_All_Funds,Classroom_Instruction_All_Funds,Computer_System_Support_School_Level,Contracted_Instructional_Services,Counseling_Services,Custodial_Services,Direct_Services_to_Schools,District,Drug_Prevention_Programs,Education_Paraprofessionals,Energy,Field_Support_All_Funds,Field_Support_Costs,Food_Services,Instructional_Offices,Instructional_Supplies_and_Equipment,Instructional_Support_Srcs_All_Funds,Instructional_Support_and_Administration_All_Funds,LeadershipSupervisionSupport_All_Funds,Leases,Librarians_and_Library_Books,Operational_Offices,Other_Classroom_Staff,Other_Field_Support_Costs_All_Funds,Parent_Involvement_Activities,Principals,Professional_Development,Projected_Expenses,Referral_and_Evaluation_Services_All_Funds,Related_Services,Sabbaticals_Leaves_Termination_Pay,School,School_Safety,Secretaries_School_Aides__Other_Support_Staff,Summer_and_Evening_School,Supervisors,Supplies_Materials_Equipment_Telephones,SystemWide_Costs,Teachers,Text_Books,Title_1,Total,Transportation
X386,104,239,1628,362,213,279,1076,386,86,9064,65,119,298,492,14947,10,0,696,304,104,370,714,87,354,1457,323,1618,0.0,86,266,2,48,170,440,205,0,23,514,47,X386,307,565,20,182,70,472,7529,53,1.0,16934,542
X390,113,238,1457,870,630,456,1624,393,95,10465,65,552,1253,842,20479,10,0,114,326,113,435,648,92,266,4717,288,2103,0.0,273,267,2,147,184,517,584,0,1367,1045,147,X390,307,566,225,8,142,488,8357,92,1.0,22546,436
X391,108,197,1360,861,359,329,1546,389,91,10789,65,523,903,799,20085,10,5,405,417,108,294,537,90,272,3817,267,2465,0.0,165,266,2,27,137,343,1019,0,409,1806,27,X391,307,824,73,10,427,479,8258,72,1.0,22003,451
X396,213,320,2842,549,23,565,1733,388,87,9885,65,312,182,842,31415,10,0,1127,326,213,321,882,87,692,13966,283,2775,0.0,363,268,2,38,332,583,544,0,38,13071,38,X396,307,1404,12,9,230,476,6783,51,1.0,33356,1587
X397,135,298,927,545,841,397,1390,386,80,7862,65,301,351,733,14359,10,0,47,255,135,399,342,87,61,1964,381,2081,6.0,25,265,2,18,457,728,291,0,8,9,17,X397,307,529,242,1,278,466,6808,85,1.0,16368,212
X433,116,270,881,394,661,303,1037,389,88,8399,65,518,436,569,16083,10,0,3,160,116,399,196,91,163,4036,291,1614,6.0,18,265,2,108,179,496,253,0,664,1827,108,X433,307,601,198,9,114,477,7208,35,1.0,18104,313
X434,105,349,1035,892,300,414,1317,387,82,8658,65,127,752,620,16562,10,0,138,277,105,325,413,88,157,2445,294,3001,6.0,19,265,8,31,228,554,133,0,31,785,31,X434,307,1072,34,278,205,469,7977,66,1.0,18500,249
X437,127,621,1305,815,569,414,1317,388,86,8924,296,275,779,620,16389,10,0,152,277,127,283,443,90,737,2903,259,1813,6.0,275,265,2,24,229,597,280,0,400,305,24,X437,307,263,102,10,129,475,7033,68,1.0,18291,259
X438,124,740,1129,1319,345,586,1489,388,86,10720,65,598,1248,620,19963,10,0,564,277,124,281,400,90,263,3452,259,3049,6.0,19,265,2,22,146,511,248,0,38,936,22,X438,307,898,495,9,312,474,8413,119,1.0,21863,356
X439,111,545,1081,729,501,414,1317,388,85,9261,65,569,1289,620,17826,10,0,10,277,111,441,375,90,296,3621,327,2435,6.0,18,265,2,115,251,499,350,0,38,996,115,X439,307,935,28,11,261,474,7884,105,1.0,19886,333
X440,102,260,778,500,207,253,914,386,83,8236,87,512,767,468,13014,10,0,77,187,102,261,210,88,64,1772,206,1213,6.0,108,264,84,54,35,71,294,0,107,395,54,X440,307,564,71,7,70,469,6956,69,1.0,14889,174
X442,142,319,828,399,615,428,1162,384,75,8475,65,57,504,569,14498,10,0,84,160,142,283,306,86,110,1749,265,2141,6.0,56,265,2,18,218,573,425,0,19,74,18,X442,307,901,190,3,264,460,7413,139,1.0,16385,149
X445,94,233,835,506,86,781,1480,369,54,5872,104,42,411,474,10467,10,0,2,220,94,281,245,76,92,865,164,1321,6.0,94,260,102,117,40,91,150,0,8,88,117,X445,307,641,68,1,83,423,5222,101,0.0,12315,178
X447,136,443,1421,44,25,279,1076,384,81,9075,65,164,384,492,15791,10,240,533,304,136,291,635,86,431,2930,265,1153,0.0,106,265,2,26,305,530,907,0,440,1093,25,X447,307,466,49,8,105,466,6793,89,1.0,17692,413
X459,127,158,1306,595,173,223,638,386,87,8526,65,97,462,57,14434,10,0,471,358,127,280,493,88,307,1755,262,2082,0.0,17,265,2,17,219,625,966,0,186,556,17,X459,307,493,88,285,84,473,6371,208,1.0,16332,441
X475,163,662,805,1081,943,397,1397,396,98,9441,65,515,1032,739,19127,10,147,19,255,163,625,245,95,264,4658,397,2663,6.0,13,267,2,227,146,336,375,1,685,1042,227,X475,307,1148,438,9,88,494,7730,85,1.0,21389,188
X477,129,361,958,1087,328,397,1390,386,80,8520,65,119,403,733,15076,10,0,3,255,129,336,426,88,45,1607,310,2473,6.0,18,265,2,25,133,495,478,0,19,362,25,X477,307,691,189,4,195,467,7575,89,1.0,17022,159
X524,91,585,843,98,22,291,1000,381,68,14860,65,270,1028,522,22954,10,0,2,181,91,385,331,83,2651,2555,367,3604,6.0,16,264,2,18,691,2061,1927,0,8,220,17,X524,307,936,3,1,509,449,9875,114,1.0,24932,139
X546,117,554,878,399,141,397,1390,386,80,8088,65,163,882,732,14824,10,0,3,255,117,353,279,88,67,2110,317,2241,6.0,18,264,2,37,167,503,149,0,30,336,36,X546,307,849,67,256,234,466,7534,84,1.0,16788,227
X549,110,600,995,667,263,303,1037,387,84,6540,272,72,1123,569,13373,10,0,4,160,110,295,195,89,357,2883,256,1808,6.0,18,264,2,39,162,428,412,0,34,702,39,X549,307,574,163,9,129,471,5455,59,1.0,15283,220
X660,126,461,949,1044,321,292,999,389,89,10008,143,562,785,521,17071,10,72,9,181,126,505,315,91,398,2747,262,2242,6.0,161,265,4,244,94,198,221,0,367,648,244,X660,307,902,275,11,86,478,8261,116,1.0,19198,183
X696,89,538,618,525,22,1169,1244,370,55,8671,65,57,683,50,14171,10,0,4,20,89,184,35,76,82,1659,165,1890,6.0,43,261,2,19,223,614,106,0,10,183,18,X696,307,607,27,4,140,425,8243,107,0.0,15925,210
X016,97,201,1925,577,370,476,1282,387,87,9277,65,505,310,589,16560,11,0,200,218,97,397,835,88,45,2470,371,1508,0.0,19,266,2,26,235,368,730,1,580,775,25,X016,307,457,45,7,100,474,7669,63,1.0,18575,718
X019,107,257,959,667,24,526,1274,371,62,8336,65,156,351,584,15144,11,167,10,164,107,298,537,77,311,2660,273,1809,0.0,19,261,2,25,143,430,160,0,407,1311,25,X019,307,631,39,6,76,433,7580,59,0.0,17020,50
X021,99,78,2337,419,100,351,1171,387,87,9177,65,58,178,568,15655,11,0,489,252,99,289,1015,88,42,1659,267,1212,0.0,161,266,2,22,98,261,176,0,271,935,22,X021,307,458,221,7,68,474,7957,71,1.0,17562,949
X041,104,211,1647,634,58,278,915,388,90,8735,65,97,367,451,14772,11,0,260,185,104,319,580,89,161,1699,292,1672,0.0,19,266,2,27,109,248,294,0,288,665,27,X041,307,709,20,6,75,478,7755,127,1.0,16714,694
X068,130,198,2505,461,25,321,1262,389,89,9065,65,65,523,671,21680,11,81,359,270,130,331,833,89,213,7077,291,1641,0.0,171,267,2,40,107,297,645,0,455,5688,40,X068,307,815,57,7,61,478,7476,76,1.0,23634,1299
X076,116,116,1483,514,28,359,968,384,84,8398,65,160,262,476,14441,11,0,204,132,116,306,679,86,143,1940,289,1536,0.0,87,265,2,17,88,218,393,0,227,1219,17,X076,307,714,31,6,84,468,7270,109,1.0,16360,432
