,Additions_to_Salary__Projected_Expenses,After_School_and_Student_Activities,Ancillary_Support_Services_All_Funds,Assistant_Principals,Attendance__Outreach_Services,Building_Maintenance,Building_Services_All_Funds,Central_Administration_All_Funds,Central_Instructional_Support_All_Funds,Classroom_Instruction_All_Funds,Computer_System_Support_School_Level,Contracted_Instructional_Services,Counseling_Services,Custodial_Services,Direct_Services_to_Schools,District,Drug_Prevention_Programs,Education_Paraprofessionals,Energy,Field_Support_All_Funds,Field_Support_Costs,Food_Services,Instructional_Offices,Instructional_Supplies_and_Equipment,Instructional_Support_Srcs_All_Funds,Instructional_Support_and_Administration_All_Funds,LeadershipSupervisionSupport_All_Funds,Leases,Librarians_and_Library_Books,Operational_Offices,Other_Classroom_Staff,Other_Field_Support_Costs_All_Funds,Parent_Involvement_Activities,Principals,Professional_Development,Projected_Expenses,Referral_and_Evaluation_Services_All_Funds,Related_Services,Sabbaticals_Leaves_Termination_Pay,School,School_Safety,Secretaries_School_Aides__Other_Support_Staff,Summer_and_Evening_School,Supervisors,Supplies_Materials_Equipment_Telephones,SystemWide_Costs,Teachers,Text_Books,Title_1,Total,Transportation
K297,106,215,1942,566,29,280,1255,388,90,11289,65,605,407,722,19581,14,0,437,253,106,356,748,88,156,2888,339,2100,0.0,17,266,5,17,241,599,844,1,927,1068,18,K297,307,809,48,9,118,477,9073,104,1.0,21559,821
K318,100,221,1411,526,99,393,1122,383,78,7705,65,495,312,489,13626,14,61,178,241,100,343,673,85,126,1944,312,1343,0.0,87,265,5,31,60,142,161,0,160,1032,31,K318,307,361,62,225,89,461,6499,90,1.0,15575,365
K319,94,273,1648,59,28,320,1084,384,82,10840,65,108,34,530,17443,14,0,857,234,94,372,843,85,295,1617,343,2161,0.0,17,265,5,29,438,1112,326,0,48,796,29,K319,307,899,126,11,79,465,9053,52,1.0,19425,432
K322,128,717,999,831,756,1355,3837,395,97,10990,65,595,995,1985,23797,14,0,6,491,128,302,294,95,329,3912,264,3932,6.0,16,266,5,38,497,1479,372,0,81,866,38,K322,307,1372,3,14,236,493,9545,118,1.0,25737,332
K330,205,513,976,1408,484,1354,3827,394,98,10356,65,557,1066,1982,22899,14,0,380,490,205,412,210,94,131,3321,387,4214,0.0,18,267,5,25,474,1945,352,1,79,705,24,K330,307,715,99,13,134,493,8696,117,1.0,24947,394
K380,134,110,2220,594,30,795,1937,385,86,9864,65,124,477,724,21310,14,0,379,418,134,368,779,86,630,5408,350,1747,0.0,17,265,5,17,188,375,1070,0,837,3765,17,K380,307,685,82,9,84,471,7456,101,1.0,23293,1068
K404,109,457,796,402,46,565,1778,383,76,7196,65,55,610,861,13604,14,0,76,346,109,571,156,86,110,1734,340,1991,6.0,17,264,5,231,152,552,214,0,54,416,231,K404,307,483,132,252,302,460,6534,53,1.0,15780,268
K449,96,364,816,763,28,512,1396,370,55,6674,86,305,654,704,12088,14,0,2,174,96,256,238,76,275,1289,235,1817,6.0,12,261,5,22,159,492,253,0,35,49,21,K449,307,458,53,1,103,425,5632,139,0.0,13913,184
K454,100,239,647,496,960,484,1276,385,80,8114,65,104,649,590,14811,14,93,6,197,100,366,125,87,62,3191,319,1482,6.0,14,264,5,47,180,568,597,2,430,642,45,K454,307,243,203,7,168,465,7057,66,1.0,16787,149
K474,104,453,765,1015,125,212,1138,386,81,6419,65,47,289,655,12418,14,0,5,265,104,285,203,88,327,1701,255,2291,6.0,17,264,5,30,73,240,253,1,88,674,29,K474,307,734,5,7,296,467,5669,92,1.0,14316,189
K477,108,224,758,939,604,196,1122,385,79,8218,65,500,548,655,14599,14,0,4,265,108,344,178,87,125,1927,254,2465,6.0,331,264,5,90,133,318,203,0,52,366,89,K477,307,1090,215,7,112,463,6767,68,1.0,16550,208
K478,72,369,944,1156,144,196,1122,385,80,7414,65,61,620,655,13624,14,0,18,265,72,328,392,87,136,2085,255,1987,6.0,18,264,109,73,91,233,199,1,343,519,72,K478,307,488,29,6,104,465,6755,90,1.0,15562,180
K488,129,352,745,442,526,409,1239,387,83,7885,65,85,680,547,14395,14,210,7,277,129,365,149,89,299,2736,346,1662,6.0,17,265,5,19,185,559,172,0,59,722,19,K488,307,319,52,261,81,470,7191,56,1.0,16375,224
K558,131,545,787,766,137,499,1329,386,82,7610,65,62,810,547,14250,14,0,10,277,131,378,225,88,258,2369,346,2024,6.0,19,264,5,32,409,454,254,0,59,410,32,K558,307,577,72,8,219,468,6843,87,1.0,16241,189
K561,103,284,924,578,180,486,1317,386,80,7743,65,218,467,547,13092,14,0,4,277,103,402,373,88,131,1281,379,1723,6.0,17,265,5,23,132,383,327,0,51,167,23,K561,307,434,115,6,323,466,6802,123,1.0,15105,178
K577,98,170,1255,388,465,623,1481,382,76,8185,65,522,161,663,13923,14,157,264,195,98,331,711,84,113,1505,313,1399,0.0,17,264,5,19,165,444,871,0,51,338,18,K577,307,442,36,8,116,458,6289,67,1.0,15856,171
K582,110,182,1607,585,94,240,503,390,91,9926,65,563,430,56,16283,14,0,330,207,110,333,560,90,145,2207,297,1930,0.0,334,266,5,37,362,681,651,0,74,1064,36,K582,307,270,37,311,84,481,7729,131,1.0,18241,674
K586,124,170,763,339,556,484,1276,390,87,10893,65,545,449,590,16757,14,0,6,197,124,314,215,91,117,2579,292,1122,6.0,12,266,5,23,238,435,1040,0,373,794,22,K586,307,245,85,9,94,477,8967,117,1.0,18693,175
K610,124,310,926,1105,503,483,1377,391,90,12446,65,620,945,654,20545,14,0,6,235,124,347,361,92,315,3237,283,2435,6.0,179,266,5,64,169,302,1528,1,451,859,63,K610,307,894,364,13,122,481,9357,72,1.0,22518,193
K614,117,172,1389,59,28,482,1266,385,80,9085,65,76,421,588,15067,14,0,3,196,117,295,700,86,465,1652,278,1557,0.0,12,265,5,17,578,915,349,0,53,399,16,K614,307,500,36,6,78,464,7993,146,1.0,16970,316
K632,107,485,745,999,362,370,1264,394,94,10937,65,163,596,654,18566,14,0,5,235,107,447,222,94,467,2884,398,2630,6.0,50,267,5,49,814,1518,271,0,68,559,48,K632,307,18,190,10,85,488,9714,73,1.0,20645,150
K685,100,853,769,715,393,436,4178,387,85,9099,65,505,1639,770,22426,14,0,19,170,100,352,242,89,91,5275,330,3005,2802.0,21,264,5,22,673,969,257,0,400,1316,22,K685,307,1010,226,11,300,473,7889,86,1.0,24395,154
K001,103,53,1177,460,28,289,1263,384,85,9708,65,520,360,583,15515,15,0,457,188,103,286,671,86,61,2026,257,1238,204.0,148,265,5,29,158,173,585,0,302,1124,29,K001,307,483,23,7,116,470,7854,55,1.0,17416,133
K010,148,135,1281,244,28,307,1039,383,83,8313,65,52,232,568,16503,15,0,125,164,148,316,526,85,122,4427,280,1296,0.0,256,264,5,37,164,267,515,0,489,3379,37,K010,307,698,17,9,77,465,7148,73,1.0,18429,383
K015,152,176,2659,65,384,348,1719,390,94,12131,65,89,728,1051,24906,15,0,666,320,152,319,1010,90,174,6948,273,1296,0.0,47,266,5,46,234,563,1011,0,882,4544,46,K015,307,592,27,13,63,483,10058,53,1.0,26852,1276
K024,129,144,1905,529,136,252,1330,389,93,10586,65,626,258,767,19153,15,0,86,311,129,359,938,89,90,3715,285,1487,0.0,181,266,5,74,155,291,991,0,517,2505,74,K024,307,572,104,8,86,481,8413,90,1.0,21138,594
K029,97,126,1048,512,28,170,425,371,66,7774,65,50,115,55,12991,15,0,152,201,97,332,267,77,41,2081,273,1566,0.0,70,261,5,59,147,323,191,1,538,1127,57,K029,307,508,44,6,218,437,7141,80,0.0,14905,408
K032,258,421,4067,594,28,536,2250,391,94,11754,65,137,1383,1239,41694,15,0,1298,474,258,318,816,89,642,20650,281,2715,0.0,144,268,5,37,512,700,2211,0,1242,17063,37,K032,307,848,308,469,105,485,6840,170,1.0,43642,2879
K038,108,205,2198,409,345,193,630,383,82,9155,65,61,286,69,16758,15,0,881,369,108,305,858,85,155,3189,265,1479,0.0,16,264,5,40,156,462,210,1,503,1693,39,K038,307,517,5,7,85,465,7770,52,1.0,18672,967
K039,98,142,906,65,28,401,1253,371,65,8440,65,57,652,538,14020,15,0,221,164,98,428,205,76,105,1874,248,1450,150.0,17,261,5,180,183,580,93,0,37,832,179,K039,462,408,22,326,71,436,7866,53,0.0,16028,174
K051,94,212,811,374,28,330,1118,370,60,7170,65,45,464,598,11809,15,0,95,190,94,319,92,76,40,1734,301,882,0.0,139,260,5,18,89,207,133,0,164,778,18,K051,307,229,17,7,65,430,6615,80,0.0,13703,346
K058,108,39,1077,65,28,270,1092,372,66,7958,65,55,187,657,13520,15,0,392,165,108,327,245,77,83,2462,289,824,0.0,32,261,5,38,106,252,387,0,370,1731,38,K058,307,428,25,6,71,438,6944,33,0.0,15430,460
K088,135,248,1618,602,28,341,1396,387,87,9428,65,539,396,769,17664,15,0,21,286,135,356,424,88,315,3404,329,1682,0.0,130,265,5,27,137,239,506,0,504,2091,27,K088,307,471,74,298,73,474,7756,81,1.0,19639,822
K094,93,318,1186,353,28,159,334,384,85,8555,65,506,173,49,12651,15,0,189,127,93,358,592,85,473,1218,286,1265,0.0,12,265,5,72,68,168,720,0,262,369,72,K094,307,587,52,3,155,469,6265,333,1.0,14622,222
K107,109,60,767,343,30,409,1302,371,65,7441,65,48,127,721,12814,15,0,10,173,109,432,299,77,192,2067,248,1127,0.0,17,261,5,184,208,328,205,0,425,1218,183,K107,307,373,16,5,78,436,6860,88,0.0,14826,96
K124,107,47,1873,71,140,1111,2450,385,83,10116,65,71,454,1113,17726,15,0,662,226,107,370,749,86,67,2023,285,1158,0.0,474,265,5,85,250,604,585,0,34,1097,85,K124,307,388,148,4,91,468,8050,54,1.0,19709,751
K130,105,104,1570,332,34,281,1030,385,84,8272,65,96,472,617,14655,15,0,170,132,105,299,851,86,109,2420,273,1256,0.0,17,265,5,27,134,330,780,0,339,1336,27,K130,307,506,83,5,83,469,6913,99,1.0,16567,347
K131,96,204,1210,400,28,169,390,384,84,8189,65,97,219,55,12597,15,81,213,166,96,304,674,85,265,1631,288,1081,0.0,125,265,5,16,199,232,493,0,367,534,16,K131,307,352,56,4,93,467,6881,54,1.0,14513,163
K136,111,171,1071,768,267,380,1344,391,93,12300,65,743,371,740,20344,15,0,85,224,111,272,543,90,742,2174,255,3344,0.0,138,267,5,17,153,446,1226,0,157,1054,17,K136,307,704,233,480,946,483,9039,88,1.0,22244,156
K146,133,164,2704,323,80,304,946,373,72,8652,140,107,110,456,17849,15,0,236,186,133,320,215,79,27,4575,289,840,0.0,121,261,5,31,136,351,538,0,445,3640,30,K146,397,93,37,11,61,445,7496,85,0.0,19759,1952
K154,102,19,951,427,185,225,1163,371,65,8067,65,51,136,742,14174,15,0,149,197,102,265,355,77,81,2527,249,1363,0.0,12,261,5,17,255,455,237,0,341,1591,16,K154,307,396,14,5,81,436,7463,55,0.0,16020,223
K169,107,237,1327,528,29,421,627,385,86,7867,65,96,227,55,13107,15,58,459,150,107,366,748,86,245,1872,290,1306,0.0,17,265,5,76,161,165,501,0,334,828,76,K169,307,514,117,5,94,470,6370,55,1.0,15087,206
K172,119,427,1215,366,119,375,1345,388,92,9022,65,98,293,781,15995,15,0,177,189,119,307,672,89,128,3009,290,1285,0.0,17,266,5,17,225,390,704,0,549,1395,17,K172,307,446,19,12,71,480,7788,86,1.0,17926,170
K230,107,83,1643,307,94,246,1562,381,82,8669,65,52,141,589,15263,15,0,167,172,107,313,725,84,92,2367,280,914,556.0,105,264,5,33,132,169,311,0,381,1536,33,K230,307,346,14,19,74,463,7847,77,1.0,17184,545
K261,134,34,1814,456,29,268,603,372,69,8083,65,52,203,117,14582,15,0,194,217,134,303,400,78,38,2664,280,1284,0.0,18,261,5,23,98,266,392,0,430,1871,23,K261,307,481,38,12,69,441,7287,59,0.0,16471,1042
K295,119,91,1426,421,28,225,408,382,84,8759,65,60,322,68,16465,15,0,199,115,119,283,574,85,262,4371,266,1382,0.0,16,264,5,17,182,449,252,0,760,2988,17,K295,307,420,9,9,82,466,7902,52,1.0,18359,480
K321,113,22,683,414,63,179,462,370,64,7687,65,46,250,53,11945,15,0,163,229,113,293,130,76,62,2008,269,993,0.0,130,260,5,23,70,163,156,0,362,1241,23,K321,307,242,12,6,168,435,7023,89,0.0,13817,180
K423,119,733,845,65,748,279,5725,390,87,14931,65,215,1736,996,28716,15,0,4,245,119,312,286,90,2455,4211,294,2886,4205.0,18,266,5,17,585,2589,639,0,163,246,17,K423,307,18,25,13,200,477,11317,251,1.0,30650,187
K429,121,670,917,1557,282,547,1820,392,91,12915,65,836,682,903,23511,15,238,248,365,121,251,305,92,484,4318,201,3421,6.0,180,266,5,50,331,604,3207,0,701,1414,50,K429,307,806,79,351,104,482,7780,97,1.0,25389,239
K442,135,658,2118,948,266,536,2250,395,100,16125,65,550,800,1239,27416,15,0,367,474,135,326,491,93,279,4185,309,2603,0.0,19,268,5,17,471,1177,413,0,82,1908,17,K442,307,378,58,18,83,494,14348,87,1.0,29381,1254
K443,108,56,924,387,135,225,408,379,74,8710,65,72,287,67,12901,15,0,5,115,108,265,283,82,355,1776,248,975,0.0,18,263,5,18,149,420,199,0,51,1099,17,K443,307,72,31,13,83,452,7936,88,1.0,14762,268
K447,118,271,1224,610,47,430,1461,375,66,7330,65,172,776,771,19109,15,0,4,261,118,290,219,79,110,7148,269,1828,0.0,18,262,5,21,156,362,413,0,50,5847,21,K447,307,333,6,410,113,441,6528,73,0.0,20985,633
K448,118,131,1148,572,249,305,956,378,72,9856,169,183,643,459,16162,15,0,5,186,118,302,250,82,119,2740,283,1343,6.0,99,262,5,18,161,352,517,0,213,1343,18,K448,307,335,84,13,72,450,8771,73,0.0,18058,421
K462,97,233,1027,748,142,368,1950,387,81,8409,65,638,353,1018,16157,15,178,133,559,97,293,264,88,318,2648,262,2026,6.0,75,265,5,31,192,454,201,0,458,1093,31,K462,307,719,69,5,99,468,6933,36,1.0,18062,390
K463,121,196,891,587,28,368,1950,389,85,9294,65,514,543,1018,16761,15,0,142,559,121,593,216,90,65,1821,269,2684,6.0,100,265,5,325,212,728,205,1,41,800,324,K463,307,984,521,219,166,474,7654,88,1.0,18972,302
K464,98,216,1098,540,305,368,1950,388,84,9543,65,546,745,1018,16811,15,0,63,559,98,347,202,89,102,2196,269,1925,6.0,89,265,5,78,285,583,909,2,44,602,76,K464,307,414,39,291,97,472,7695,94,1.0,18775,523
K497,96,166,891,1128,569,547,1820,385,79,8779,65,648,865,903,17009,15,0,132,365,96,352,212,87,139,3010,266,2411,6.0,124,264,5,85,186,487,219,0,135,1089,85,K497,307,719,115,6,72,464,7329,68,1.0,18968,306
K519,111,330,879,838,356,276,1411,387,83,9464,170,600,962,886,16840,15,127,349,243,111,307,174,89,282,3303,273,1672,6.0,190,264,5,34,232,326,1317,0,345,952,34,K519,307,385,223,8,115,470,6259,238,1.0,18761,227
K520,129,1790,822,72,289,280,5726,393,86,14577,65,600,1330,996,29291,15,0,14,245,129,415,321,92,641,4678,371,3359,4205.0,12,267,5,44,635,2629,294,1,32,602,43,K520,307,517,907,4,137,478,12062,41,1.0,31329,129
K529,127,340,964,169,410,278,4923,384,75,10494,350,900,582,1167,20117,15,0,2,207,127,436,212,86,199,1458,241,2151,3271.0,18,265,5,195,35,1000,1171,12,30,60,184,K529,307,412,164,326,244,459,7981,54,1.0,22156,95
K530,111,404,922,1000,1025,646,1974,391,88,7770,65,510,1366,1052,19145,15,0,4,270,111,457,402,92,173,4804,386,3564,6.0,21,266,5,71,411,1287,229,1,46,1552,71,K530,307,1198,279,7,72,479,6490,59,1.0,21226,148
K656,108,176,692,1331,142,431,1472,371,58,6853,65,55,687,773,13213,15,0,4,262,108,334,138,77,90,1462,296,2626,6.0,17,260,5,38,78,355,79,0,41,338,38,K656,307,750,43,4,186,429,6449,111,0.0,15121,181
K667,110,603,924,440,45,165,781,389,86,8413,65,75,382,50,13811,15,0,4,561,110,365,353,90,453,2050,344,1533,6.0,116,265,5,21,73,247,459,0,52,895,21,K667,307,626,28,9,210,475,7163,110,1.0,15796,199
K676,108,193,2586,765,36,159,570,390,93,11740,65,162,211,47,21556,15,0,396,363,108,351,1258,90,126,4130,298,2422,0.0,16,267,5,53,30,878,718,0,1314,2346,52,K676,307,638,14,15,125,483,10233,68,1.0,23534,956
K684,89,665,638,1492,28,368,1950,383,73,9643,65,120,607,1018,22268,15,0,3,559,89,274,53,85,1503,5113,257,4835,6.0,245,265,5,16,45,2126,924,0,30,3737,16,K684,307,718,4,3,496,456,6773,65,1.0,24142,212
K698,147,283,749,254,1471,157,4582,385,76,10955,65,1168,330,50,22144,15,0,3,6,147,258,238,87,1020,2674,242,3036,4369.0,18,265,5,16,475,1452,580,0,31,83,16,K698,307,1066,106,3,262,462,8011,45,1.0,24008,138
K821,97,182,1275,418,29,380,1344,387,85,8754,65,633,297,740,14808,15,0,128,224,97,294,496,88,300,1736,268,1602,0.0,108,265,5,27,157,430,511,0,348,722,26,K821,307,487,17,189,78,472,6978,74,1.0,16719,406
K005,118,146,2620,430,185,204,751,387,88,10807,65,135,983,74,20147,16,0,583,473,118,316,1006,88,133,4178,291,1673,0.0,526,266,5,25,194,543,574,9,881,1789,16,K005,307,598,44,7,95,475,8751,56,1.0,22082,1241
K021,100,104,1410,367,85,172,565,384,82,9133,65,73,446,57,14183,16,0,369,337,100,296,615,85,61,1840,280,1134,0.0,216,265,5,16,107,337,351,0,237,860,16,K021,307,328,145,6,96,465,7858,55,1.0,16089,423
K025,112,314,2636,1144,290,388,1437,388,88,12901,65,145,568,760,24830,16,0,1149,289,112,485,1086,88,155,4061,347,3683,0.0,323,267,5,138,245,614,1776,0,1041,1603,138,K025,307,1246,22,7,672,477,9145,180,1.0,26936,1178
K026,101,123,2209,159,32,379,1358,389,90,11283,65,193,341,683,19355,16,0,164,296,101,316,763,89,93,2649,295,1754,0.0,18,266,5,21,169,671,1573,3,472,1512,18,K026,307,813,55,8,103,479,9072,111,1.0,21295,1074
K028,98,488,2300,1452,747,210,4201,387,86,11562,65,100,584,521,24803,16,0,479,5,98,341,906,87,318,3448,318,3194,3465.0,18,266,5,23,185,841,1027,5,37,1406,18,K028,307,785,103,6,109,473,9435,78,1.0,26761,1021
K035,116,307,1719,771,635,855,2405,387,86,9075,65,115,597,1217,20998,16,0,565,333,116,298,924,89,285,5180,277,2503,0.0,533,265,5,21,336,977,1401,0,773,2532,21,K035,307,614,124,9,132,474,5996,51,1.0,22914,422
K040,100,111,1997,566,40,449,1650,388,88,9665,65,114,822,813,19461,16,0,644,388,100,385,756,88,124,4063,323,1986,0.0,335,266,5,63,265,672,160,0,562,2262,62,K040,307,635,143,7,107,476,8012,127,1.0,21467,869
K057,101,467,1304,843,220,335,1595,387,85,10404,65,570,315,939,19692,16,0,27,321,101,338,409,88,106,3116,314,3173,0.0,516,266,5,24,298,915,1378,0,47,1768,24,K057,307,1068,333,96,253,472,7411,57,1.0,21646,522
K081,128,299,3085,502,360,218,1479,392,98,12756,65,93,385,942,24539,16,218,836,319,128,288,1162,92,75,5457,271,1635,0.0,18,267,5,17,235,547,1790,0,1084,2875,17,K081,307,493,159,12,81,491,9674,106,1.0,26462,1550
K243,116,114,2252,579,37,236,779,390,90,12854,65,153,281,70,23534,16,0,302,473,116,385,1115,89,112,5240,351,2292,0.0,350,267,5,34,380,588,985,0,1692,2736,34,K243,307,984,144,10,132,480,10748,55,1.0,25543,764
K262,100,269,2026,459,226,440,1800,387,88,9069,65,120,375,1067,17598,16,0,188,292,100,381,852,88,234,2626,347,1977,0.0,17,266,5,34,194,516,734,0,427,1134,34,K262,307,763,39,7,232,475,7680,53,1.0,19599,801
K267,124,458,2051,460,66,480,1680,388,89,11002,65,563,401,816,21039,16,0,578,384,124,305,589,89,488,3748,286,2434,0.0,16,266,5,19,191,644,761,2,238,2394,17,K267,307,919,215,329,82,477,8323,53,1.0,22966,1089
K308,115,155,1970,579,26,295,1401,387,85,10523,65,565,444,812,19133,16,0,285,294,115,351,591,88,71,3629,318,1495,0.0,18,265,5,33,281,326,142,0,415,2307,33,K308,307,508,68,9,74,472,9307,63,1.0,21101,1006
K309,117,308,2266,503,555,183,504,386,87,12409,65,738,393,64,20785,16,0,737,257,117,445,694,87,188,3526,295,1963,0.0,309,266,139,150,182,553,1231,0,534,1553,150,K309,307,808,68,8,92,473,8953,45,1.0,22847,1199
K335,128,144,2775,554,392,264,722,393,97,11167,65,167,1058,114,21793,16,217,301,343,128,339,650,92,113,5314,272,1687,0.0,343,267,5,67,223,580,945,0,839,2440,67,K335,307,453,73,9,90,489,9163,56,1.0,23766,1753
K385,114,263,1579,1028,215,335,1595,392,94,13048,65,548,1259,939,25663,16,0,251,321,114,526,405,91,143,5700,334,3627,0.0,19,267,5,192,387,1274,160,0,1299,2278,192,K385,307,1136,54,13,176,485,11772,95,1.0,27819,801
K393,101,465,893,403,272,380,1368,387,82,9402,65,532,350,685,15722,16,0,8,297,101,285,221,89,50,2502,252,1455,6.0,18,265,5,33,205,565,286,0,49,1161,33,K393,307,398,83,8,81,470,8361,59,1.0,17621,300
K455,109,522,721,816,506,439,2160,385,82,7592,65,687,766,1195,15697,16,81,251,520,109,484,182,88,373,3031,278,2084,6.0,28,263,69,206,77,156,448,0,252,828,205,K455,307,669,236,169,274,468,5377,122,1.0,17793,167
K498,117,954,939,889,1011,416,4359,387,83,6752,65,73,644,970,17656,16,0,6,405,117,640,306,89,168,2987,315,2502,2568.0,21,264,5,325,54,508,217,8,48,276,317,K498,307,836,122,8,261,470,6055,84,1.0,19910,261
K534,121,254,1879,893,27,388,1435,390,89,11347,65,558,665,758,21136,16,0,469,289,121,268,544,90,356,2915,247,3438,0.0,18,267,5,21,370,964,1159,0,52,1546,21,K534,307,884,87,531,167,479,8600,96,1.0,23027,962
K584,148,360,1671,934,1290,264,722,398,101,12912,65,559,1417,114,25100,16,355,12,343,148,393,568,95,175,6266,359,3381,0.0,19,269,5,34,353,1148,875,0,67,2424,34,K584,307,1114,133,18,167,498,11075,59,1.0,27136,730
K594,101,651,1354,60,307,450,1660,383,77,7934,65,111,161,816,14273,16,0,6,389,101,290,770,86,316,1739,266,1486,6.0,16,264,5,24,241,762,480,0,47,331,24,K594,307,587,99,8,69,461,6812,88,1.0,16168,212
K627,278,239,1921,59,354,161,593,383,81,8281,65,186,868,50,15559,16,0,627,381,278,283,921,85,123,2468,266,2019,0.0,12,265,5,16,19,1293,1375,0,39,948,16,K627,307,500,323,5,161,464,5561,70,1.0,17450,627
K628,87,192,1122,59,212,855,2405,379,73,8293,65,97,39,1217,14393,16,0,255,333,87,248,633,81,498,833,232,1654,0.0,16,264,5,16,38,997,326,0,26,326,16,K628,307,499,43,2,97,451,7003,51,1.0,16237,117
K636,104,334,2494,822,1035,161,593,388,88,8454,65,155,517,51,18289,16,0,272,381,104,361,1261,88,130,4408,323,2236,0.0,17,266,5,38,352,954,1282,0,379,1790,38,K636,307,379,103,5,76,476,6447,41,1.0,20270,860
K688,121,290,925,1165,836,336,1605,388,83,10806,65,104,323,942,18716,16,0,4,322,121,388,421,89,337,2119,261,3140,6.0,17,265,5,126,373,1337,292,0,50,246,126,K688,307,510,3,9,120,470,9818,226,1.0,20719,132
K002,107,292,1707,817,306,615,1785,386,83,10477,65,519,379,851,19477,17,194,89,319,107,308,852,87,206,3300,242,2103,0.0,295,265,1,66,201,514,581,0,575,1353,66,K002,307,652,70,7,113,469,8661,54,1.0,21399,482
K006,112,118,1944,541,179,478,1538,387,89,9153,65,63,250,786,17369,17,0,160,274,112,309,608,88,61,3280,287,1342,0.0,206,266,1,22,126,317,521,0,196,2411,22,K006,307,374,23,7,103,476,8066,53,1.0,19299,964
K012,107,84,2145,14,167,378,1890,386,83,14290,65,104,606,994,24477,17,0,836,519,107,322,885,86,146,4618,277,1426,0.0,16,267,1,45,360,866,1771,0,901,2500,45,K012,307,441,28,5,100,470,11332,56,1.0,26414,887
K022,125,89,3079,368,257,428,2018,392,97,11132,65,568,310,1043,22836,17,0,431,547,125,566,783,92,68,4940,272,1541,0.0,17,267,1,294,331,458,789,0,311,3643,293,K022,307,627,99,9,79,489,9081,79,1.0,25035,1923
K061,102,181,1039,478,93,293,1157,384,79,8808,65,103,266,588,14233,17,0,145,276,102,325,416,86,38,2020,265,1107,0.0,146,264,1,60,151,213,241,0,167,1162,60,K061,307,338,167,6,71,462,7909,58,1.0,16165,251
K091,127,117,2817,245,493,289,598,392,97,11230,65,522,254,126,19593,17,0,633,184,127,408,828,92,116,3917,334,905,0.0,208,267,1,74,110,304,407,0,562,2382,74,K091,382,274,56,9,72,489,9216,70,1.0,21635,1542
K092,92,139,1492,871,88,479,1415,387,86,9623,65,515,458,729,16501,17,108,304,207,92,353,788,87,44,2079,275,1800,0.0,16,266,1,78,276,379,346,0,184,824,78,K092,307,469,136,4,76,472,8205,55,1.0,18470,332
K122,208,1509,1338,14,22,484,2141,385,77,11225,65,93,2050,1137,23721,17,0,2,515,208,289,661,87,465,4368,273,4440,6.0,10,265,1,17,65,2182,1089,0,19,702,16,K122,307,1532,3,6,706,462,9508,57,1.0,25616,304
K138,101,229,1633,418,318,421,1284,388,83,10627,65,520,462,642,17431,17,0,440,221,101,311,712,88,52,2779,233,1007,0.0,161,266,1,78,243,256,425,0,367,1159,77,K138,378,247,41,5,80,470,8931,57,1.0,19357,478
K161,92,196,1327,140,62,307,1001,384,78,8656,65,543,129,550,13782,17,0,197,143,92,398,549,86,47,1748,263,958,0.0,186,265,1,135,111,257,515,0,386,864,135,K161,307,332,19,153,76,463,7061,88,1.0,15787,406
K167,93,169,1759,382,22,471,1855,389,90,10546,65,539,361,1110,19194,17,124,452,274,93,319,682,89,138,3275,280,1665,0.0,16,266,1,40,156,425,529,1,536,1907,39,K167,307,757,68,8,93,479,8746,58,1.0,21137,705
K181,110,100,1710,407,133,241,1100,385,80,9832,65,528,148,620,15957,17,0,335,239,110,270,708,86,56,2198,237,1007,0.0,16,265,1,32,78,197,342,0,280,1458,32,K181,357,327,64,6,69,465,8434,56,1.0,17836,580
K189,93,359,1319,407,124,308,890,383,78,7538,65,78,209,440,12340,17,0,88,141,93,354,564,85,323,1473,299,1026,0.0,104,265,1,56,80,179,707,0,328,373,56,K189,353,227,46,108,106,462,6136,56,1.0,14300,338
K191,98,156,2210,683,390,749,1786,387,88,8991,65,248,515,366,19548,17,0,633,671,98,728,760,88,120,4084,273,2378,0.0,16,266,1,455,452,827,121,0,936,1635,455,K191,307,777,51,7,85,476,7748,55,1.0,21896,1077
K221,106,140,2081,606,224,578,1933,386,86,10024,65,115,511,1007,18355,17,140,581,348,106,446,609,87,107,2695,322,1516,0.0,259,265,1,125,155,366,156,0,129,1394,125,K221,307,464,27,6,74,472,8725,53,1.0,20418,1099
K241,114,214,2010,593,118,413,1575,386,85,9337,65,67,238,958,17441,17,0,364,204,114,342,710,87,127,2957,316,1448,0.0,223,265,1,26,148,350,631,2,597,1643,24,K241,307,419,172,6,79,470,7699,54,1.0,19398,927
K246,119,195,1530,847,124,405,1678,387,85,11600,65,533,507,896,20138,17,0,163,377,119,421,790,88,60,3138,252,2072,0.0,204,266,1,169,193,357,811,0,370,1748,169,K246,307,563,128,198,106,473,9635,65,1.0,22176,367
K249,94,213,1556,440,139,226,1065,384,83,7931,65,141,133,595,13876,17,0,242,244,94,343,855,85,109,1944,278,1286,0.0,16,265,1,65,135,278,423,0,229,1095,65,K249,307,488,31,4,75,467,6787,182,1.0,15831,329
K289,117,93,2334,574,159,491,1656,388,88,10871,65,80,416,847,21749,17,144,422,318,117,418,708,88,114,5110,272,1660,0.0,279,266,1,146,164,379,100,0,596,3539,145,K289,307,626,48,7,75,477,9616,211,1.0,23788,1254
