DBN,Additions_to_Regular_Salary,Additions_to_Salary__Projected_Expenses,After_School_and_Student_Activities,Ancillary_Support_Services_All_Funds,Assistant_Principals,Attendance__Outreach_Services,Building_Maintenance,Building_Services_All_Funds,Central_Administration_All_Funds,Central_Instructional_Support_All_Funds,Central_Leadership,Classroom_Instruction_All_Funds,Computer_System_Support_School_Level,Contracted_Instructional_Services,Counseling_Services,Custodial_Services,Direct_Services_to_Schools,District,Drug_Prevention_Programs,Education_Paraprofessionals,Energy,Field_Support_All_Funds,Field_Support_Costs,Food_Services,Instructional_Offices,Instructional_Supplies_and_Equipment,Instructional_Support_Srcs_All_Funds,Instructional_Support_and_Administration_All_Funds,LeadershipSupervisionSupport_All_Funds,Leases,Librarians_and_Library_Books,Operational_Offices,Other_Classroom_Staff,Other_Field_Support_Costs_All_Funds,Parent_Involvement_Activities,Principals,Professional_Development,Projected_Expenses,Referral_and_Evaluation_Services_All_Funds,Related_Services,Sabbaticals_Leaves_Termination_Pay,School,School_Safety,Secretaries_School_Aides__Other_Support_Staff,Summer_and_Evening_School,Supervisors,Supplies_Materials_Equipment_Telephones,SystemWide_Costs,Teachers,Text_Books,Title_1,Total,Transportation,Name,schoolyear,fl_percent,frl_percent,total_enrollment,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,female_per,poverty_level,elementary_school,middle_school,high_school
X154,2,244,105,2207,655,302,637,2021,373,88,34,10560,83,351,526,869,20492,7,0.0,216,515,244,370,914,74,46,3841,319,1620,0.0,242,264,2,51,146,387,661,1,397,2364,48,X154,307,345,37,116,117,461,8945,60,1.0,22662,904,PS 154 JONATHAN D HYATT,2011,,99.6,516.0,11.8,22.1,0.4,36.6,59.9,1.9,54.7,45.3,99.1989319092,1,0,0
X157,2,170,197,1701,841,259,351,1493,370,83,34,9658,83,163,379,725,17789,7,0.0,470,418,170,464,644,72,74,2737,307,2030,0.0,160,264,2,157,142,372,762,1,343,1417,154,X157,307,667,92,9,140,453,7874,61,1.0,20045,668,PS 157 GROVE HILL,2011,,93.6,604.0,14.6,16.6,0.8,30.5,67.9,0.3,50.7,49.3,82.2429906542,1,0,0
X161,2,234,122,2505,513,155,301,927,373,89,34,12559,83,493,648,515,21958,7,0.0,750,112,234,330,718,75,426,4106,304,1626,0.0,196,264,2,25,189,327,668,1,558,2435,22,X161,307,621,7,36,130,462,9882,133,1.0,24088,1398,PS 161 PONCE DE LEON,2011,,94.1,631.0,28.7,26.8,0.3,28.1,70.4,0.8,54.5,45.5,83.5113484646,1,0,0
X162,3,277,107,1521,746,91,358,1477,375,86,34,10792,83,429,418,712,19510,7,0.0,321,407,277,328,510,75,152,3629,302,1813,0.0,160,265,2,26,118,311,720,1,656,2239,22,X162,307,651,136,13,93,461,8812,59,1.0,21637,621,JHS 162 LOLA RODRIGUEZ DE TIO,2011,,89.9,731.0,21.8,25.4,0.7,26.3,72.6,0.4,50.5,49.5,71.0947930574,0,1,0
X179,2,235,94,1874,857,24,272,915,374,87,34,10795,83,186,555,536,19210,7,0.0,290,108,235,327,881,74,132,3306,318,2084,0.0,10,266,2,9,237,523,524,1,437,1960,6,X179,307,592,221,13,99,461,9369,61,1.0,21337,603,PS 179,2011,,97.3,394.0,23.4,21.6,0.5,18.3,78.4,1.0,53.3,46.7,94.6595460614,1,0,0
X203,3,266,701,1174,1163,256,395,1480,374,87,34,11941,83,405,683,715,23213,7,269.0,6,370,266,357,549,76,258,5837,331,2516,0.0,334,264,2,26,270,726,859,1,1799,1859,22,X203,307,447,297,15,165,461,9649,131,1.0,25370,236,MS 203,2011,,89.1,291.0,22.3,30.9,0.3,33.0,66.0,0.7,57.4,42.6,68.5580774366,0,1,0
X221,2,123,522,1074,895,24,315,1227,373,79,34,8019,83,170,670,591,15453,7,0.0,3,320,123,298,400,74,195,2868,290,2142,1.0,10,264,2,8,132,385,421,1,613,907,5,X221,307,398,127,201,262,452,7010,82,1.0,17541,285,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,2011,,81.1,588.0,8.3,18.0,1.0,30.4,68.0,0.3,47.4,52.6,45.1935914553,0,1,1
X223,2,153,459,1334,484,73,314,1224,371,79,34,8163,83,346,354,590,14600,7,158.0,3,320,153,345,488,72,530,2006,320,1721,0.0,11,264,2,25,192,441,589,1,34,735,22,X223,307,465,123,197,133,450,6456,103,1.0,16734,456,MS 223/THE LABORATORY SCHOOL OF FINANCE AND TECH,2011,,96.1,489.0,10.4,16.0,0.4,27.0,72.6,0.0,48.3,51.7,91.7222963952,0,1,0
X224,2,107,186,1217,884,127,419,1527,371,81,34,8449,83,675,517,712,16108,7,0.0,3,396,107,296,525,73,1081,2072,279,2736,0.0,62,264,2,16,46,516,410,1,440,756,13,X224,307,643,28,295,399,452,6128,60,1.0,18194,303,P.S./I.S. 224,2011,,95.1,382.0,34.3,20.2,1.8,24.6,71.2,1.3,54.7,45.3,87.4499332443,0,1,0
X277,2,187,130,1977,339,141,336,923,371,85,34,10874,83,430,522,584,18485,7,145.0,279,3,187,352,740,73,82,3286,314,1239,0.0,207,264,2,38,222,398,808,1,610,1516,35,X277,307,391,30,12,100,456,8893,143,1.0,20632,847,PS 277,2011,,91.9,529.0,20.6,20.8,0.4,23.3,73.7,0.9,52.6,47.4,77.1028037383,1,0,0
