DBN,Additions_to_Regular_Salary,Additions_to_Salary__Projected_Expenses,After_School_and_Student_Activities,Ancillary_Support_Services_All_Funds,Assistant_Principals,Attendance__Outreach_Services,Building_Maintenance,Building_Services_All_Funds,Central_Administration_All_Funds,Central_Instructional_Support_All_Funds,Central_Leadership,Classroom_Instruction_All_Funds,Computer_System_Support_School_Level,Contracted_Instructional_Services,Counseling_Services,Custodial_Services,Direct_Services_to_Schools,District,Drug_Prevention_Programs,Education_Paraprofessionals,Energy,Field_Support_All_Funds,Field_Support_Costs,Food_Services,Instructional_Offices,Instructional_Supplies_and_Equipment,Instructional_Support_Srcs_All_Funds,Instructional_Support_and_Administration_All_Funds,LeadershipSupervisionSupport_All_Funds,Leases,Librarians_and_Library_Books,Operational_Offices,Other_Classroom_Staff,Other_Field_Support_Costs_All_Funds,Parent_Involvement_Activities,Principals,Professional_Development,Projected_Expenses,Referral_and_Evaluation_Services_All_Funds,Related_Services,Sabbaticals_Leaves_Termination_Pay,School,School_Safety,Secretaries_School_Aides__Other_Support_Staff,Summer_and_Evening_School,Supervisors,Supplies_Materials_Equipment_Telephones,SystemWide_Costs,Teachers,Text_Books,Title_1,Total,Transportation,Name,schoolyear,fl_percent,frl_percent,total_enrollment,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,female_per,poverty_level,elementary_school,middle_school,high_school
X551,3,120,234,837,1129,628,395,1483,373,80,34,8378,83,223,464,716,14749,7,44.0,254,370,120,378,294,74,102,2096,369,1836,1.0,10,264,2,9,151,380,276,1,40,535,5,X551,307,215,90,11,101,453,7327,93,1.0,16918,154,BRONX ACADEMY OF LETTERS,2011,,86.9,571.0,10.0,19.6,1.1,33.8,64.8,0.2,41.5,58.5,61.214953271,0,1,1
X600,2,190,297,1018,995,700,544,2342,375,84,34,9696,83,414,801,1094,18560,7,91.0,33,702,190,274,415,76,262,3456,251,1859,1.0,153,265,2,23,166,267,247,1,376,1024,20,X600,307,473,240,12,113,458,8267,77,1.0,20631,214,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION H,2011,,88.8,947.0,9.8,21.3,1.3,37.0,60.7,0.6,92.0,8.0,67.7570093458,0,0,1
X655,2,184,507,1017,1614,426,588,1896,377,88,34,10780,83,468,707,937,20374,7,0.0,4,369,184,361,340,78,242,3241,259,3256,1.0,163,265,129,102,164,281,293,1,310,1126,99,X655,307,638,17,13,710,465,9271,193,1.0,22538,287,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HI,2011,,83.5,826.0,16.1,25.7,1.3,30.1,67.1,0.6,77.5,22.5,51.8691588785,0,0,1
X670,2,98,284,1050,845,277,412,2971,372,78,34,7800,83,258,449,604,16220,7,113.0,2,244,98,258,358,74,416,2013,238,2288,1712.0,134,264,2,20,143,395,184,1,33,715,17,X670,307,918,68,9,121,451,6575,161,1.0,18268,303,HEALTH OPPORTUNITIES HIGH SCHOOL,2011,,89.1,608.0,8.6,15.6,2.3,37.0,60.5,0.0,27.0,73.0,68.5580774366,0,0,1
X014,2,111,338,1787,282,89,276,1118,368,79,34,9014,83,183,243,594,16268,8,0.0,67,247,111,328,571,71,109,2707,318,1531,0.0,50,263,2,9,125,315,686,1,263,1648,6,X014,307,806,28,31,96,447,7790,98,1.0,18381,827,PS 014 SEN JOHN CALANDRA,2011,,62.8,618.0,6.6,17.6,2.3,3.6,56.3,37.5,56.5,43.5,19.5594125501,1,0,0
X036,2,178,212,1939,488,33,505,1515,371,83,34,9055,83,155,215,713,16374,8,108.0,480,297,178,295,647,72,66,1955,269,1732,0.0,334,264,2,26,109,327,532,1,265,1012,23,X036,307,612,83,10,295,454,7209,194,1.0,18462,903,PS 036 UNIONPORT,2011,,90.0,718.0,16.7,17.3,18.1,12.8,64.8,2.1,50.8,49.2,71.3618157543,1,0,0
X048,2,206,39,2061,590,131,539,1788,371,84,34,9897,83,334,202,772,18438,8,0.0,236,477,206,283,772,72,83,3039,271,1446,0.0,139,264,2,12,139,239,663,1,722,1806,9,X048,307,484,26,10,123,455,8337,77,1.0,20514,899,PS 048 JOSEPH R DRAKE,2011,,87.9,881.0,19.0,18.4,0.2,29.2,70.4,0.1,53.7,46.3,63.8184245661,1,0,0
X062,2,211,144,2142,493,362,372,1412,371,85,34,10154,83,460,384,591,17581,8,0.0,513,449,211,424,605,73,370,2238,271,1423,0.0,162,264,2,153,118,291,651,2,387,841,150,X062,307,532,50,10,97,456,7881,66,1.0,19800,1148,PS 062 INOCENSIO CASANOVA,2011,,89.8,706.0,17.1,19.3,0.0,21.0,77.3,1.3,55.7,44.3,71.0280373832,1,0,0
X069,2,212,286,2076,338,186,275,1887,371,84,34,8694,83,233,232,798,16749,8,7.0,367,400,212,295,630,73,459,2569,220,1312,414.0,203,264,2,74,454,399,457,1,574,831,71,X069,307,444,38,10,120,455,6860,75,1.0,18838,1057,PS 069 THE NEW VISION SCHOOL,2011,,89.5,602.0,13.5,20.3,2.8,16.6,75.9,1.7,50.8,49.2,69.8931909212,1,0,0
X071,2,91,145,1331,560,182,336,823,369,77,34,7988,83,124,159,349,13536,8,0.0,75,138,91,297,456,72,405,1856,282,1447,0.0,10,263,2,14,59,151,541,1,340,972,11,X071,307,633,37,11,92,446,6732,62,1.0,15617,486,PS 071 ROSE E SCALA,2011,,70.1,1645.0,5.5,18.7,6.3,4.7,55.5,31.7,49.6,50.4,25.6341789052,1,1,0
X072,2,226,65,2665,441,24,297,1155,371,83,34,9653,83,361,285,612,18557,8,0.0,548,246,226,282,860,72,169,3386,272,1471,0.0,10,264,2,10,93,234,423,1,390,2530,7,X072,307,658,85,16,122,454,7879,177,1.0,20631,1416,PS 072 DR WILLIAM DORNEY,2011,,79.4,950.0,5.7,20.2,4.2,20.4,68.5,6.7,51.5,48.5,40.7209612817,1,0,0
X075,2,250,317,1846,828,543,370,1444,373,86,34,11888,83,594,232,775,20261,8,0.0,287,299,250,234,917,73,795,2830,219,2004,0.0,10,265,2,16,149,329,776,1,606,984,13,X075,307,724,212,10,113,459,9156,55,1.0,22293,539,PS 075,2011,,96.9,632.0,18.5,17.2,0.5,24.8,72.6,1.4,50.2,49.8,93.8584779706,1,0,0
X093,2,269,110,2907,862,90,351,1766,371,85,34,13193,83,409,668,1010,24326,8,0.0,1016,405,269,314,814,73,346,3820,304,2371,0.0,472,263,2,10,323,534,451,1,904,1725,7,X093,307,849,65,13,114,456,10248,184,1.0,26434,1704,PS 093 ALBERT G. OLIVER,2011,,87.5,400.0,12.3,22.8,0.5,53.0,43.0,0.5,52.5,47.5,62.7503337784,1,0,0
X100,2,142,58,2022,511,24,327,1275,372,86,34,9542,83,144,382,611,16987,8,0.0,324,337,142,319,690,74,55,2157,276,1849,0.0,191,264,2,43,121,294,571,1,64,1508,41,X100,307,712,112,187,145,458,7943,199,1.0,19103,943,PS 100 ISSAC CLASSON,2011,,87.5,690.0,9.1,22.0,0.9,39.7,58.3,0.7,55.1,44.9,62.7503337784,1,0,0
X101,2,50,296,1433,739,98,337,1269,367,73,34,7004,83,142,282,583,12968,8,0.0,1,349,50,262,403,70,120,1145,255,2066,0.0,10,263,2,7,196,466,529,1,24,249,4,X101,307,702,25,6,152,440,6108,66,1.0,15009,641,MS 101X P.O. EDWARD R. BYRNE,2011,,74.0,457.0,1.3,10.1,12.3,18.4,48.1,19.9,49.5,50.5,29.9065420561,0,1,0
X107,2,222,201,1945,647,24,354,1656,372,86,34,9983,83,139,300,914,18814,8,0.0,309,388,222,404,643,74,94,3258,325,1750,0.0,11,264,2,79,151,390,667,1,706,1876,76,X107,307,595,19,12,106,459,8680,62,1.0,21016,913,PS 107,2011,,87.6,509.0,9.6,21.6,1.0,46.6,52.1,0.4,45.2,54.8,62.9506008011,1,0,0
X119,2,137,71,1453,368,149,360,1400,369,80,34,8648,83,208,265,651,14633,8,0.0,124,390,137,457,590,70,170,1597,260,1399,0.0,137,264,2,197,149,238,488,1,344,618,194,X119,307,671,14,8,115,448,7399,106,1.0,16877,473,PS 119,2011,,88.6,948.0,21.5,10.9,31.2,9.9,55.6,3.2,47.8,52.2,66.4886515354,1,0,0
X123,2,183,400,1617,461,560,347,1580,374,84,34,9501,83,169,447,831,18176,8,107.0,95,403,183,296,635,74,149,3309,263,1986,0.0,237,265,2,33,165,361,290,1,408,1223,30,X123,307,747,48,245,173,457,8355,156,1.0,20269,593,JHS 123 JAMES M. KIERNAN,2011,,94.8,530.0,22.3,20.0,0.9,29.4,68.5,0.8,50.9,49.1,86.3150867824,0,1,0
X125,2,176,396,1689,774,67,342,1335,373,83,34,9709,83,457,321,642,17259,8,0.0,235,352,176,284,617,74,466,2376,277,1973,0.0,197,264,2,7,252,350,447,1,138,1202,4,X125,307,539,124,187,123,456,7635,147,1.0,19338,682,JHS 125 HENRY HUDSON,2011,,92.5,661.0,16.6,21.0,23.9,16.0,57.8,1.2,49.3,50.7,79.1054739653,0,1,0
X130,2,282,168,2431,371,440,209,1631,373,87,34,10555,83,431,544,919,19709,8,0.0,445,502,282,731,979,73,436,2947,323,1864,0.0,237,266,2,408,142,414,1415,1,413,1240,405,X130,307,918,51,9,152,460,7467,70,1.0,22239,1062,PS 130 ABRAM STEVENS HEWITT,2011,,95.5,490.0,26.7,17.6,0.6,24.1,73.9,1.2,47.6,52.4,89.1855807744,1,0,0
X131,2,133,209,1674,796,144,359,1288,372,81,34,8519,83,128,459,569,15727,8,74.0,167,360,133,368,685,73,215,2479,274,1635,0.0,11,265,2,94,114,257,358,1,550,930,92,X131,307,442,94,25,114,453,7481,63,1.0,17887,600,JHS 131 ALBERT EINSTEIN,2011,,86.3,857.0,5.7,20.8,1.8,39.4,57.8,0.5,49.7,50.3,59.0787716956,0,1,0
X138,2,214,161,1828,404,308,458,1435,370,81,34,8295,83,134,328,634,15643,8,0.0,393,342,214,242,630,71,74,2448,233,1422,0.0,10,264,2,8,141,239,525,1,301,1209,5,X138,307,357,13,257,166,451,6922,222,1.0,17674,809,PS 138 SAMUEL RANDALL,2011,,87.4,945.0,7.2,14.3,1.9,30.6,65.5,0.6,49.4,50.6,62.349799733,1,0,0
X140,2,234,274,1886,576,423,409,1642,370,81,34,9490,83,162,518,762,17661,8,0.0,276,470,234,340,786,71,53,2696,309,1712,0.0,6,264,2,31,139,362,608,1,322,1021,28,X140,307,649,42,7,120,451,8278,63,1.0,19791,711,PS 140 EAGLE,2011,,98.5,596.0,5.7,11.2,0.2,39.9,58.4,1.3,52.2,47.8,97.2630173565,1,0,0
X146,2,137,142,1819,404,122,497,1694,370,83,34,10317,83,201,317,774,17085,8,0.0,725,423,137,303,810,72,220,1510,241,1607,0.0,10,264,2,61,183,467,1049,1,27,719,58,X146,307,635,9,7,94,453,7822,280,1.0,19179,619,PS 146 EDWARD COLLINS,2011,,95.0,457.0,11.6,12.5,0.2,42.0,55.4,0.4,47.9,52.1,86.9826435247,1,0,0
X152,2,172,81,1483,600,214,547,1628,369,82,34,9379,83,447,457,703,16743,8,0.0,259,379,172,336,655,71,333,2518,264,1562,0.0,45,264,2,72,83,228,620,1,359,1324,69,X152,307,500,19,21,214,451,7338,317,1.0,18869,439,PS 152 EVERGREEN,2011,,93.2,937.0,25.8,13.1,1.5,22.5,74.6,0.4,49.0,51.0,81.308411215,1,0,0
X182,2,141,74,1812,361,90,309,1065,369,80,34,8372,83,172,277,488,14226,8,0.0,289,268,141,285,569,71,258,1604,260,1231,0.0,10,264,2,25,86,233,287,1,331,746,22,X182,307,396,16,123,118,449,7283,56,1.0,16299,854,PS 182,2011,,85.6,994.0,3.2,13.0,4.3,29.3,64.7,1.6,48.3,51.7,57.6769025367,1,0,0
X269,2,95,500,1493,429,164,260,975,374,81,34,8122,83,132,287,646,14628,8,0.0,2,3,95,387,537,75,155,2279,379,1664,66.0,124,265,2,8,301,583,627,1,258,770,5,X269,307,161,110,250,240,454,6906,63,1.0,16808,567,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,2011,,94.7,394.0,10.7,20.1,1.3,22.1,74.6,1.0,42.6,57.4,85.6475300401,0,1,1
X282,3,82,408,1056,545,190,423,1401,370,75,34,7620,83,125,613,631,14161,8,0.0,1,345,82,272,294,72,110,1929,264,2072,1.0,10,264,2,8,247,758,375,1,50,422,4,X282,307,417,297,7,345,445,6632,69,1.0,16216,373,YOUNG WOMEN'S LEADERSHIP SCHOOL BRONX,2011,,79.5,308.0,3.9,11.7,2.6,44.2,49.4,3.2,0.6,99.4,41.0547396529,0,0,1
X293,2,80,399,927,605,236,264,819,372,78,34,7123,83,139,713,325,13232,8,168.0,2,228,80,430,340,74,132,2111,298,2171,1.0,10,263,2,132,224,485,849,1,39,333,129,X293,307,762,55,10,310,450,5848,87,1.0,15450,198,RENAISSANCE HIGH SCHOOL OF MUSICAL THEATER & TEC,2011,,78.2,459.0,2.4,19.0,3.3,29.4,60.8,6.1,38.8,61.2,37.5166889186,0,0,1
X295,2,161,566,1113,1008,246,180,844,373,81,34,8974,83,364,818,531,16180,8,0.0,3,131,161,273,438,75,320,2796,266,2293,1.0,10,263,105,7,165,459,535,1,47,954,5,X295,307,707,107,13,106,454,7418,112,1.0,18245,285,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TE,2011,,81.8,510.0,12.9,22.5,5.7,34.3,57.5,1.6,63.7,36.3,47.7970627503,0,0,1
X301,7,206,471,1705,1145,182,424,2614,374,84,34,10026,83,276,853,1435,19950,8,213.0,295,755,206,341,631,75,58,2975,321,2424,0.0,4,265,2,20,219,621,1008,1,485,551,12,X301,307,487,276,13,158,459,8012,94,1.0,22089,685,MS 301 PAUL L. DUNBAR MS,2011,,92.3,338.0,14.8,25.7,0.3,38.5,60.7,0.0,53.3,46.7,78.7716955941,0,1,0
X302,2,196,545,1597,971,224,303,1678,375,87,34,10428,83,546,741,684,20466,8,107.0,203,692,196,306,599,75,301,4007,285,2560,0.0,166,265,2,21,140,317,980,1,408,1842,18,X302,307,649,98,489,134,461,7997,135,1.0,22571,608,MS 302 LUISA DESSUS CRUZ MS,2011,,97.8,724.0,21.8,24.9,0.1,21.7,77.3,0.7,50.0,50.0,96.1281708945,0,1,0
X304,2,196,95,2787,355,191,337,1269,368,79,34,8190,83,109,274,583,17842,8,0.0,342,349,196,277,548,71,88,3992,269,1409,0.0,10,263,2,9,157,397,412,1,972,2302,6,X304,307,405,26,11,241,447,7138,62,1.0,19905,1849,PS 304 EARLY CHILDHOOD SCHOOL,2011,,65.5,540.0,2.6,18.1,4.4,7.4,43.7,43.1,52.2,47.8,21.2950600801,1,0,0
X305,2,198,391,1227,829,583,180,844,374,84,34,10224,83,396,679,531,17966,8,211.0,3,131,198,346,445,76,143,2688,337,2787,1.0,10,264,2,9,212,572,966,1,50,561,6,X305,307,918,110,268,200,458,8477,116,1.0,20110,393,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD,2011,,83.0,365.0,14.5,25.5,3.0,26.6,68.5,1.1,65.2,34.8,50.2670226969,0,0,1
X312,2,132,381,1069,702,205,180,844,372,80,34,7710,83,457,466,531,14712,8,0.0,112,131,132,272,447,74,505,1967,258,2991,1.0,10,264,2,14,181,471,263,1,40,694,11,X312,307,988,194,687,143,452,6033,133,1.0,16775,232,MILLENNIUM ART ACADEMY,2011,,83.9,499.0,5.2,20.2,1.8,33.1,63.9,1.0,51.5,48.5,53.3377837116,0,0,1
X332,2,118,308,917,1027,690,295,1300,373,81,34,8192,83,398,316,654,15450,8,0.0,4,349,118,209,242,74,468,1717,202,3207,1.0,10,265,2,7,236,671,611,1,34,134,4,X332,307,998,38,278,233,454,6559,110,1.0,17452,285,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH,2011,,97.3,327.0,11.9,15.3,1.8,41.0,54.4,0.6,48.0,52.0,94.6595460614,0,0,1
X333,2,172,251,2498,413,302,499,1826,372,86,34,10059,83,158,566,821,19812,8,0.0,326,506,172,284,680,73,75,3415,275,1841,0.0,248,264,2,8,179,428,995,1,641,1476,5,X333,307,690,26,10,301,458,8128,100,1.0,21892,1429,NEW SCHOOL #1 @ PS 60,2011,,87.1,457.0,30.0,19.3,0.2,23.9,74.4,0.9,53.6,46.4,61.7489986649,1,0,0
X335,2,155,243,2695,795,34,499,1826,375,91,34,10353,83,641,33,821,19560,8,0.0,508,506,155,288,712,75,214,1687,280,2845,0.0,10,265,2,8,358,935,728,1,43,976,5,X335,307,884,10,11,220,466,8038,203,1.0,21653,1593,NEW SCHOOL #2 @ PS 60,2011,,95.2,214.0,23.4,22.0,0.9,20.1,76.6,1.4,51.9,48.1,87.7837116155,1,0,0
X337,2,224,36,1851,46,24,347,1580,374,85,34,10686,83,150,447,831,18795,8,0.0,380,403,224,294,673,75,63,1528,250,2926,0.0,10,264,2,45,313,846,495,1,110,598,42,X337,307,673,10,1159,204,459,9516,59,1.0,20887,788,THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE,2011,,85.5,260.0,10.4,25.4,2.3,41.5,54.6,1.5,55.0,45.0,57.4098798398,0,1,0
X366,3,101,311,2180,426,778,375,1593,373,84,34,9554,83,210,616,779,21645,8,0.0,477,439,101,407,461,75,135,6252,392,1964,0.0,52,264,2,15,171,580,216,1,82,4294,11,X366,307,523,55,286,149,457,8345,62,1.0,23847,1330,URBAN ASSEMBLY ACADEMY OF CIVIC ENGAGEMENT,2011,,76.1,352.0,13.1,28.1,2.3,21.9,65.9,9.9,52.3,47.7,33.1108144192,0,1,0
X367,3,95,674,1762,750,420,423,1398,372,81,34,9586,83,309,431,630,18177,8,0.0,405,345,95,312,498,73,139,3476,262,1860,0.0,9,265,2,51,454,555,882,1,147,1350,47,X367,307,362,119,11,183,453,7515,206,1.0,20281,875,ARCHIMEDES ACADEMY FOR MATH SCIENCE AND TECH,2011,,80.5,404.0,4.0,22.0,2.0,32.9,63.9,0.7,58.4,41.6,43.5914552737,0,1,0
X371,3,47,222,1324,547,24,375,1593,371,79,34,8408,83,121,586,779,17220,8,0.0,26,439,47,296,456,73,179,3776,276,2072,0.0,11,264,2,20,206,589,506,1,1267,1471,16,X371,307,784,11,12,139,450,7466,84,1.0,19305,479,URBAN INSTITUTE OF MATHEMATICS,2011,,66.5,346.0,6.6,22.5,5.8,15.3,58.4,19.9,59.0,41.0,21.7623497997,0,1,0
X375,3,155,948,1517,808,294,423,1398,372,81,34,8499,83,282,319,630,18656,8,0.0,3,345,155,283,610,73,351,3969,276,3118,0.0,4,264,2,8,218,478,627,1,790,1400,5,X375,307,1267,141,12,553,453,7003,85,1.0,20731,517,BRONX MATHEMATICS PREPARATORY SCHOOL,2011,,84.8,428.0,5.6,22.0,6.3,33.4,58.9,0.9,55.6,44.4,55.4072096128,0,1,0
X376,2,110,184,1355,936,24,180,841,373,83,34,8690,83,149,285,530,15279,8,0.0,3,131,110,284,440,75,228,1622,267,2660,0.0,9,264,2,18,203,570,254,1,55,872,15,X376,307,964,41,37,154,456,7884,120,1.0,17358,526,ANTONIA PANTOJA PREPARATORY ACADEMY,2011,,90.1,368.0,9.0,25.0,4.1,29.1,65.8,0.5,46.2,53.8,71.829105474,0,1,0
X377,2,61,800,989,159,128,180,844,369,73,34,9804,83,275,700,531,16799,8,0.0,1,131,61,347,425,71,246,2568,258,2534,1.0,10,264,2,89,225,1380,558,1,44,671,86,X377,307,658,233,6,332,442,8344,134,1.0,18926,174,BRONX COMMUNITY HIGH SCHOOL,2011,,76.6,191.0,5.2,8.9,1.0,29.8,66.5,1.0,49.2,50.8,34.5126835781,0,0,1
X405,2,109,271,952,504,116,265,830,372,80,34,7296,83,398,761,336,12581,8,0.0,6,228,109,316,322,74,97,1944,259,1449,1.0,98,264,31,58,53,68,257,1,167,575,55,X405,307,741,83,11,125,452,6239,86,1.0,14688,241,HERBERT LEHMAN HIGH SCHOOL,2011,,80.7,3925.0,9.7,18.7,6.8,22.5,61.3,8.8,58.9,41.1,44.1255006676,0,0,1
X424,2,180,105,2208,704,399,290,1292,377,87,34,11824,83,522,584,654,20766,8,49.0,381,347,180,285,986,76,87,2976,276,2286,0.0,10,266,2,8,169,565,532,1,496,1175,6,X424,307,501,210,384,132,464,10006,74,1.0,22853,832,THE HUNTS POINT SCHOOL,2011,,97.7,402.0,17.4,29.1,0.0,27.4,71.4,1.0,50.0,50.0,95.8611481976,0,1,0
X432,2,150,1264,960,46,1348,180,843,368,72,34,12975,83,789,415,531,23068,8,0.0,2,131,150,252,391,71,2563,3217,242,4922,1.0,9,263,2,10,78,2637,1162,1,27,85,8,X432,307,1230,112,7,1004,440,7617,718,1.0,25099,180,BRONX BRIDGES HIGH SCHOOL,2011,,60.0,78.0,78.2,9.0,2.6,10.3,87.2,0.0,46.2,53.8,17.2229639519,0,0,1
X448,2,169,372,2017,54,141,359,1288,374,84,34,8705,83,157,552,569,16306,8,0.0,448,360,169,217,676,75,484,1576,209,2551,0.0,8,265,2,8,301,920,574,1,43,167,5,X448,307,1421,24,11,145,459,6950,59,1.0,18320,952,SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP,2011,,94.1,217.0,5.5,22.1,1.4,34.6,63.1,0.0,51.6,48.4,83.5113484646,0,1,0
X452,2,182,244,825,1095,194,181,845,373,81,34,9704,83,435,600,531,17389,8,0.0,8,131,182,377,191,75,503,2817,367,3015,1.0,10,264,2,10,253,684,604,1,1355,171,7,X452,307,1088,192,11,137,453,7864,86,1.0,19557,245,BRONX GUILD: A NEW YORK CITY OUTWARD BOUND SCHOO,2011,,83.7,322.0,7.5,21.4,3.1,36.0,59.9,0.6,48.1,51.9,52.8037383178,0,0,1
X467,3,42,228,2142,46,24,375,1593,370,79,34,8891,83,123,832,779,18027,8,0.0,278,439,42,324,606,73,917,3493,315,1867,0.0,4,263,2,9,34,1201,329,1,47,2328,5,X467,307,519,15,12,89,450,6834,388,1.0,20140,1147,MOTT HALL COMMUNITY SCHOOL,2011,,77.0,166.0,7.2,25.3,2.4,21.1,59.0,16.9,57.8,42.2,35.3805073431,0,1,0
X519,2,113,238,826,526,696,189,2750,372,79,34,8116,83,394,658,496,16343,8,0.0,17,3,113,450,260,74,258,2703,256,1836,2062.0,113,264,2,193,492,611,210,1,38,581,190,X519,307,591,84,10,98,451,6943,95,1.0,18582,176,THE FELISA RINCON DE GAUTIER INSTITUTE FOR LAW A,2011,,77.4,375.0,14.9,18.9,1.6,22.4,74.7,0.8,41.3,58.7,35.9813084112,0,0,1
X530,2,100,282,1025,384,739,296,1300,373,82,34,7315,176,387,1066,654,15674,8,0.0,7,349,100,387,220,75,399,3949,280,1985,1.0,18,264,2,108,314,515,864,1,63,1485,105,X530,307,845,109,110,132,455,5415,113,1.0,17855,322,BANANA KELLY HIGH SCHOOL,2011,,91.7,448.0,16.1,20.8,1.8,27.5,69.6,0.7,47.8,52.2,76.5687583445,0,0,1
X540,2,190,358,906,1106,533,180,844,376,87,34,9361,83,473,631,531,17463,8,0.0,8,131,190,446,209,77,527,3113,288,3049,1.0,12,265,170,157,256,728,359,1,419,916,155,X540,307,1043,152,14,157,463,7371,290,1.0,19710,308,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,2011,,90.5,314.0,11.1,25.2,4.8,31.5,62.4,0.6,51.6,48.4,72.9639519359,0,0,1
X560,2,168,275,772,1063,503,189,2750,370,74,34,8595,83,511,1160,496,17894,8,0.0,307,3,168,255,225,71,61,2864,210,2746,2062.0,192,264,2,45,268,601,817,1,19,638,42,X560,307,860,156,5,216,444,6454,95,1.0,19932,158,BRONX ACADEMY HIGH SCHOOL,2011,,83.8,341.0,10.0,8.5,1.2,40.8,56.3,0.6,43.1,56.9,53.0040053405,0,0,1
X650,3,235,222,861,889,355,299,1425,375,84,34,9369,83,449,505,782,16681,8,74.0,53,342,235,302,264,76,319,2451,206,2341,1.0,121,265,2,97,164,227,462,1,303,828,93,X650,307,931,103,124,170,458,7758,102,1.0,18780,207,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,2011,,88.2,1004.0,10.5,18.2,1.7,37.1,60.7,0.3,28.9,71.1,64.953271028,0,0,1
X002,2,389,639,6552,1970,59,588,1755,387,114,35,21560,83,224,1736,750,48047,9,911.0,3483,417,389,846,1695,85,592,9687,369,8105,0.0,22,267,2,477,687,2160,2061,1,2552,3102,475,X002,307,3222,110,24,729,501,14934,130,1.0,50733,4467,PS 002 MORRISANIA,2011,,95.3,89.0,33.7,51.7,0.0,44.9,55.1,0.0,55.1,44.9,87.9839786382,1,0,0
X004,2,258,616,2699,1089,380,423,1996,373,83,34,13712,83,750,312,1142,25326,9,0.0,792,431,258,264,747,74,504,3506,247,3154,0.0,9,265,2,17,189,480,1415,1,800,1209,14,X004,307,639,65,665,282,457,10079,96,1.0,27385,1562,PSMS 004 CROTONA PARK WEST,2011,,96.7,435.0,12.9,22.3,0.2,51.5,47.6,0.5,50.6,49.4,93.1909212283,1,1,0
X011,3,192,408,1927,718,88,448,2038,372,85,34,9196,83,167,424,1161,18180,9,0.0,179,429,192,245,867,72,177,2755,238,2072,0.0,159,265,2,8,121,280,709,1,230,1483,4,X011,307,811,49,8,254,457,7625,128,1.0,20221,670,PS 011 HIGHBRIDGE,2011,,91.5,737.0,33.9,13.8,0.1,33.4,65.0,1.1,51.7,48.3,75.9679572764,1,0,0
X022,2,211,627,1694,555,497,344,1208,372,82,34,10422,83,465,1000,533,18651,9,120.0,238,331,211,355,851,73,329,3306,263,1810,0.0,186,265,2,92,119,325,956,1,485,458,89,X022,307,689,134,10,230,454,7897,215,1.0,20799,453,JHS 022 JORDAN L MOTT,2011,,94.2,642.0,37.1,15.6,0.9,24.0,74.1,0.6,50.3,49.7,83.91188251,0,1,0
X028,2,225,173,1963,684,64,293,1290,371,84,34,9550,83,154,207,601,16626,9,97.0,547,396,225,367,668,72,86,1791,310,1807,0.0,10,264,2,57,108,276,709,1,328,814,54,X028,307,747,20,8,92,455,7885,136,1.0,18786,906,PS 028 MOUNT HOPE,2011,,95.2,763.0,32.9,15.5,0.4,12.8,86.5,0.1,52.0,48.0,87.7837116155,1,0,0
X035,2,231,274,1468,519,103,239,1075,370,82,34,8884,83,149,325,593,14618,9,0.0,363,243,231,280,728,71,216,1409,244,1553,0.0,4,264,2,36,115,333,475,1,28,564,33,X035,307,560,52,7,134,452,7488,134,1.0,16689,351,PS 035 FRANZ SIEGEL,2011,,87.7,661.0,17.1,11.8,1.1,32.2,66.0,0.5,49.9,50.1,63.217623498,1,0,0
X042,2,227,197,2482,326,233,264,1315,372,87,34,11689,83,183,391,745,20066,9,0.0,898,306,227,355,896,74,428,2584,297,1769,0.0,71,264,2,58,207,324,856,1,545,1012,56,X042,307,687,28,297,136,460,9055,169,1.0,22220,1197,PS 042 CLAREMONT,2011,,95.7,544.0,18.4,23.0,0.9,43.2,54.4,1.5,53.1,46.9,90.1201602136,1,0,0
X053,2,209,283,1589,534,256,237,854,369,81,34,8697,83,155,197,390,14751,9,0.0,306,228,209,272,765,70,170,1685,251,1716,0.0,10,264,2,21,65,174,454,0,244,641,19,X053,307,676,43,6,327,450,7498,59,1.0,16812,435,PS 053 BASHEER QUISIM,2011,,93.2,1330.0,31.1,9.2,0.9,33.0,65.5,0.4,50.8,49.2,81.308411215,1,0,0
X055,2,246,119,2677,790,389,359,1153,372,84,34,9937,83,410,353,568,19300,9,0.0,292,226,246,350,908,72,30,2909,309,2379,0.0,4,265,2,41,118,300,898,1,453,1477,38,X055,307,852,70,145,292,456,8043,188,1.0,21445,1380,PS 055 BENJAMIN FRANKLIN,2011,,95.5,699.0,22.3,16.2,0.6,47.4,52.1,0.0,53.6,46.4,89.1855807744,1,0,0
